Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 SVM ,0,7,1,4,0,0,0,81,0,1,0,2,0,542,6,0,2,0,0,0,70,7,104,52,0,4,0,14,0,5,0,0,2,0,0,0,5,1,5,0,0,2,6,10,0,3,0,2,3,0,5,0,5,0,0,0,2,0,0,4,25,1,3,3,0,0,1,2,35,34,92,1,1,0,0,37,0,7,40,19,63,0,5,26,140,10,0,17,190,0,0,0,0,302,0,0,0,5,0,63,0,6,1,0,29,1,0,0,44,1,12,1,3,3
 Trees ,0,1,0,1,0,0,4,20,0,0,0,0,0,157,2,0,1,0,0,70,0,0,55,4,0,10,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4,9,5,0,0,1,0,6,0,0,12,2,5,0,0,12,7,0,0,1,54,0,0,0,0,75,0,0,0,2,0,11,0,0,0,0,6,0,0,0,17,0,10,0,0,2
 Sentiment Analysis ,0,0,0,0,0,0,0,2,2,0,0,1,0,26,0,0,0,0,0,7,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
 Regression ,0,4,0,3,0,0,7,43,0,1,0,0,0,227,3,1,1,0,0,104,55,2,0,48,0,8,0,3,0,8,0,0,0,0,0,1,4,3,4,1,1,0,2,4,0,5,0,0,0,0,2,6,1,0,5,0,0,0,0,6,14,6,0,18,0,1,0,5,45,29,38,3,7,0,0,32,0,2,33,19,14,0,2,10,32,6,1,32,129,0,0,0,0,152,2,0,0,15,0,26,0,5,1,1,21,3,0,0,69,1,8,1,0,2
 Multi-layer perceptron ,0,0,0,1,0,0,1,24,0,0,0,3,0,113,0,0,0,0,0,52,4,0,48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,3,0,1,3,0,0,0,0,0,0,0,16,38,0,0,25,0,0,0,2,1,13,15,0,2,0,0,19,0,2,10,5,1,0,0,0,16,0,0,0,85,0,0,0,0,24,0,0,0,2,0,7,0,0,0,2,4,0,0,0,12,0,3,0,0,0
 Cyber Infrastructure ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Pose Estimation ,0,1,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,4,10,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,1,1,3,4,0,3,0,5,2,0,0,0,0,20,8,0,0,29,73,0,0,0,0,3,5,0,0,0,0,1,0,4,0,0,19,0,0,0,0,1,1,0,0,1
 Auto Encoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,1,0,0,0,12,14,5,0,4,0,30,0,0,0,0,0,14,2,17,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,27,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,3,2,0,0,0,0,0,1,0,1,5,0,0,3,0,0,3,0,0,0,59,4,0,0,0,27,0,0,0,1,0,6,0,0,0,0,3,0,0,0,12,0,0,0,11,0
 Automated Reasoning ,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,0,0,0,0,3,0,0,0,1,0,29,1,0,0,0,1,5,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,39,1,0,0,0,3,7,0,0,3,41,0,0,0,0,9,0,0,0,1,0,8,0,0,1,1,1,0,0,0,7,1,2,0,0,1
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0
 Text Classification ,0,0,0,0,0,0,0,1,0,1,0,1,0,27,1,0,0,0,0,5,1,4,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,17,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,1,0
 Clouds ,0,0,0,79,0,1,4,26,0,1,1,1,5,18,0,0,0,0,0,1,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,25,1,0,0,0,0,8,0,2,0,0,0,27,0,0,0,3,1,34,1,2,0,3,0,0,0,8,0,0,6,102,2,0,8,16,0,2,1,0,4,1,5,0,7,0,0,0,0,0,1,2,0,10,68,0,8,0,0,3,0,0,25,46,45,0,0,0,19,0,6,0,0,75,10,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Topic Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,0,7,0,0,0,16,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0
 Mobile Robots ,0,1,0,0,0,0,4,8,0,1,0,0,0,33,0,2,0,0,0,6,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,4,5,0,0,0,0,3,0,0,2,4,7,0,4,0,0,0,0,571,11,3,11,5,4,0,6,0,11,4,0,0,0,0,9,11,1,0,221,158,0,0,0,0,4,3,0,0,0,0,2,0,17,0,0,17,0,0,0,0,0,6,8,0,0
 Information Retrieval ,0,1,0,4,0,0,0,51,4,5,0,11,0,52,1,0,0,0,0,10,1,5,4,0,0,0,0,27,0,0,0,0,3,0,0,0,6,2,0,0,4,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,3,4,1,3,1,2,3,0,0,0,2,0,0,16,1,3,3,0,0,9,2,0,0,83,1,0,0,0,16,0,0,0,1,0,3,0,0,0,0,0,1,0,0,21,0,1,0,3,0
 Dynamic Programming ,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,2,2,4,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,1,12,0,0,2,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
 Deep Learning ,0,0,0,0,0,0,0,9,0,5,0,6,0,19,0,0,0,0,0,3,0,0,5,19,0,0,1,0,1,5,0,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0,5,0,1,0,0,0,0,0,4,0,0,6,32,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,3,0,1,5,15,0,0,5,42,0,0,0,0,13,0,0,0,0,0,2,0,0,2,5,2,0,0,0,2,0,2,2,0,0
 Neuromorphic Computing ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,10,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,0,2,0,3,0,0,0,15,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,3,0,1,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,3,2,9,0,0,1,22,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
 Automated Question Answering ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Image Recognition ,0,1,0,0,0,0,0,3,0,1,0,0,0,11,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0
