Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Meta Learning ,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
 SVM ,0,4,1,0,1,60,4,1,0,2,4,411,3,0,0,0,37,0,78,61,0,3,11,0,6,0,4,0,0,9,0,12,0,1,4,12,1,0,0,0,0,0,9,0,6,0,0,0,2,2,0,13,6,0,5,0,0,0,0,23,21,74,1,2,2,42,0,0,27,20,51,0,2,3,18,98,6,0,17,227,0,0,189,0,0,0,4,0,22,0,0,0,13,3,0,37,0,12,0,3,4
 Trees ,0,2,0,0,0,10,0,0,0,0,0,71,1,0,0,37,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,5,5,4,0,0,0,1,4,0,0,0,21,0,0,35,0,0,0,1,0,5,0,0,0,2,2,0,6,0,1,0,0,0
 Sentiment Analysis ,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
 Regression ,0,6,2,0,4,26,0,0,0,1,1,153,3,0,2,78,27,1,0,44,0,8,3,1,4,0,0,0,0,3,0,1,0,1,2,8,1,0,1,1,1,0,1,6,1,0,1,0,4,0,2,10,2,0,13,0,0,0,2,24,22,30,2,0,0,17,0,0,16,13,1,0,0,2,9,11,4,2,16,115,0,0,106,0,0,0,2,0,15,0,1,1,10,3,0,48,1,6,0,0,2
 Multi-layer perceptron ,0,6,0,0,2,27,0,2,0,3,1,94,1,0,0,61,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,1,0,1,7,3,0,0,0,8,2,0,8,0,0,46,0,0,0,0,8,14,18,0,0,0,11,0,0,5,0,3,0,0,0,1,18,2,0,0,109,0,0,24,0,0,0,0,0,10,0,2,0,1,0,0,13,0,4,0,0,1
 Cyber Infrastructure ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,3,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29,1,5,1,2,1,2,0,5,2,0,0,0,0,0,10,3,0,0,17,63,0,0,2,5,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0
 NLP ,0,0,1,0,0,4,9,9,0,4,0,19,2,0,0,11,0,0,3,1,0,1,0,1,0,3,0,0,0,4,0,0,0,1,2,16,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,9,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,2,55,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,6,0
 Automated Reasoning ,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,1,0,0,3,0,0,0,0,0,22,1,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,5,0,0,27,0,1,0,0,0,2,0,0,0,3,56,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,9,0,2,0,0,0
 Chatbot ,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,2,1,0,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,1,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,2,0,3,1,0,0,0,15,1,0,1,6,0,0,0,1,0
 Text Classification ,0,0,1,0,0,2,1,0,0,1,0,30,0,0,0,9,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,18,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
 Clouds ,0,0,8,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,1,3,0,0,0,5,0,0,1,3,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,3,0,0,18,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,8,0,0,5,0,0,0,3,0,0,0,0,1,1,0,0,11,0,0,0,0,0
 Mobile Robots ,0,0,0,0,12,7,0,2,0,0,0,24,0,0,0,4,0,0,2,6,0,11,2,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,1,0,2,0,2,0,1,0,2,0,3,0,0,0,0,537,11,2,2,4,0,4,0,2,3,0,0,0,0,0,17,9,0,0,183,255,0,0,7,3,0,0,0,0,0,0,26,0,12,0,0,0,1,0,6,0,2
 Information Retrieval ,0,2,0,0,1,39,7,7,0,19,0,51,0,0,0,12,0,0,8,2,0,0,16,0,1,2,1,0,1,9,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,5,0,3,6,6,2,0,0,0,0,0,29,1,2,0,0,0,1,4,0,0,2,107,0,0,11,0,0,0,1,0,0,0,0,1,2,1,0,15,0,1,0,2,0
 Dynamic Programming ,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,15,1,0,2,3,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Deep Learning ,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 Data Storage ,0,0,1,0,0,10,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0
 Convolutional Networks ,0,0,1,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,2,5,0,0,0,1,0,2,0,0,0,0,0,0,1,5,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
 Automated Question Answering ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,1,0,0,0,5,0,0,0,0,0,8,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,1,3,0,1,0,0,0,2,2,0,0,1,17,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
 Reinforcement Learning ,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,2,0,4,0,0,0,0,0,2,0,4,0,1,1,16,0,1,0,0,0,0,40,3,0,2,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0,16,109,0,0,20,0,0,0,0,0,5,0,0,0,2,1,0,2,0,0,0,0,0
 Face Detection ,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,6,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,1,2,1,0,0,0,8,5,0,0,2,27,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,0,0
 Distributed Computing ,1,0,1,0,1,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,2,0,0,0,2,0,0,0,1,9,0,0,0,4,2,0,0,1,0
 Bayesian Inference ,0,0,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 Distributed File System ,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,2,0,0,4,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,14,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0
 Parallel Processing ,1,0,1,1,0,2,0,0,0,0,6,5,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,6,1,0,3,0,4,0,0,0,0,0,0,6,3,0,0,3,4,1,0,0,0
 RNN ,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,12,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 Voice Recognition ,0,0,2,0,0,35,14,0,0,58,0,53,0,0,0,13,0,0,10,8,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,1,1,0,1,0,0,0,7,0,5,0,1,0,0,0,0,20,0,10,2,2,1,2,0,0,8,1,0,0,0,0,2,25,1,1,8,175,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0
 Markov ,2,0,0,0,6,3,0,2,0,2,0,13,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,16,0,0,5,0,0,1,0,5,0,0,1,0,0,0,0,7,0,1,3,0,0,0,0,0,1,1,1,0,0,0,4,1,1,0,5,26,0,0,8,0,6,0,0,0,2,0,0,0,0,1,0,3,0,4,2,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Back-propagation ,0,2,1,0,1,7,0,1,0,0,2,33,0,0,0,5,0,0,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,6,1,10,1,1,0,0,0,0,0,0,7,11,10,1,2,0,3,0,1,6,0,1,0,0,0,1,9,0,0,3,54,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0,2,2,0,0,0,0
 Cluster Computing ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
 Data Center ,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
