Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Language Modeling ,0,0,0,2,0,0,0,0,5,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,3,16,0,0,0,0,13,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,4,0
 Supercomputers ,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,18,0,0,1,0,11,0,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,2,1,0,0,0,0
 Classification ,0,30,0,35,0,27,15,257,9,12,1,8,1,0,40,2,8,2,0,720,570,53,0,415,118,0,11,11,0,89,0,0,59,1,61,5,14,42,3,0,28,37,0,26,9,3,24,10,0,9,1108,2,6,1324,1,25,15,3,0,0,11,8,0,21,3,248,17,33,9,28,32,2,21,0,45,115,52,17,108,5,6,42,0,0,73,0,153,210,150,15,10,0,0,107,86,337,15,11,170,720,0,1,10,2,1758,0,2,0,0,203,0,132,0,2,10,0,6,2,171,7,30,0,212,11,55,18,7,25
 Semi Supervised Learning ,0,0,0,0,0,0,0,3,0,1,0,0,2,40,0,0,0,0,0,8,2,1,0,13,0,0,0,1,0,2,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,15,0,0,0,1,0,0,0,1,0,2,0,4,0,1,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,2,0,0,7,6,0,0,0,0,2,0,5,0,0,1,20,0,0,0,0,26,0,0,0,0,3,0,15,0,0,1,0,1,0,1,0,0,0,5,0,2,0,0,1
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,35,0,7,0,3,12,114,0,0,2,0,0,720,8,0,2,0,0,0,384,20,0,335,119,0,4,1,0,17,0,0,9,0,9,1,4,15,0,0,6,4,1,3,0,0,2,4,0,0,207,0,1,249,0,6,0,2,0,0,0,0,0,12,2,50,2,5,2,5,20,0,6,0,48,15,62,3,32,9,0,12,0,0,50,0,46,37,45,4,1,0,0,14,13,142,5,15,19,209,0,0,4,0,954,0,0,0,2,46,2,51,0,0,2,0,0,1,47,1,16,2,92,8,17,3,0,1
 Trees ,0,20,0,11,0,1,7,90,1,0,0,1,3,570,2,0,2,0,0,384,0,4,0,345,56,0,3,0,0,9,0,0,1,0,2,0,0,5,1,0,3,3,0,1,0,0,3,0,0,1,112,0,1,106,0,2,1,1,0,0,1,4,0,5,0,21,1,1,1,6,6,0,1,0,57,5,17,1,10,1,1,5,0,0,42,0,53,41,25,5,1,0,0,4,6,53,5,10,5,133,0,1,0,0,730,0,0,0,1,40,0,28,0,0,1,0,1,0,9,0,6,0,69,0,18,1,0,2
 Sentiment Analysis ,0,0,0,3,0,0,0,6,3,0,0,1,0,53,1,0,1,0,0,20,4,0,0,11,5,0,0,1,0,40,0,0,0,1,0,0,8,1,1,0,8,2,0,0,7,0,3,0,1,0,23,0,1,20,1,0,0,0,0,0,1,0,0,1,0,19,1,1,0,0,1,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,10,0,1,0,0,0,4,1,4,0,0,0,44,0,0,0,0,54,0,0,0,0,26,0,5,0,0,4,0,0,0,0,0,2,0,18,0,0,0,1,1
 Sentence Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,14,0,14,0,11,19,116,0,1,0,0,3,415,13,0,1,1,0,335,345,11,0,0,84,0,7,1,0,20,1,0,15,0,3,1,0,10,0,0,3,14,3,9,1,0,3,1,0,1,187,1,2,184,0,2,12,1,0,0,1,12,0,14,1,48,3,5,14,5,22,3,10,0,51,37,44,2,24,3,1,0,0,0,44,0,32,58,10,31,3,0,0,16,11,32,6,10,63,224,0,0,0,2,804,0,0,1,0,95,0,47,0,3,2,0,2,1,28,4,19,0,110,4,7,0,0,11
 Multi-layer perceptron ,0,6,0,5,0,1,4,30,0,0,0,0,0,118,0,0,0,0,0,119,56,5,0,84,0,0,1,0,0,3,0,0,2,0,1,0,1,6,0,0,1,3,0,0,0,1,0,0,0,0,59,1,0,79,0,2,4,0,0,0,0,0,0,0,0,42,8,4,0,2,18,0,4,0,14,1,25,4,4,4,0,0,0,0,11,0,6,15,5,0,0,0,0,0,4,23,1,1,0,89,0,1,1,0,172,0,0,0,0,7,0,12,0,0,2,0,1,0,4,0,2,0,17,0,4,0,1,0
 Cyber Infrastructure ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,0,0,1,0,6,0,0,0,0,0,11,0,1,0,0,0,4,3,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,3,40,0,0,27,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,27,0,0,1,0,1,3,0,0,0,0,7,0,2,0,0,0,0,1,11,2,0,0,25,31,0,0,0,0,6,0,2,0,0,1,0,0,0,5,0,0,0,0,26,0,0,0,0,0,2,2,0,1
 Auto Encoder ,0,0,0,1,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,18,0,0,8,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,2
 Deep Neural Netork ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,7,0,0,0,22,21,9,0,19,0,89,2,0,0,0,0,17,9,40,0,20,3,0,0,0,0,0,0,0,3,13,1,0,9,4,2,0,15,1,0,0,10,2,39,1,0,3,105,0,2,41,0,6,3,0,0,0,0,1,0,2,1,64,0,18,1,6,1,0,0,6,2,9,1,1,1,1,1,1,0,1,7,0,3,22,3,2,0,0,1,7,3,9,3,2,9,158,1,1,1,0,183,0,0,0,1,32,0,6,0,0,11,0,0,0,10,1,4,0,32,1,0,4,34,4
 Automated Reasoning ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Bert ,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Unsupervised Learning ,0,0,0,4,0,1,2,9,0,0,0,0,0,59,2,0,1,0,0,9,1,0,0,15,2,0,0,2,0,3,0,0,0,0,13,0,2,8,0,0,0,0,0,0,2,0,1,3,0,0,40,2,1,20,0,2,9,1,0,0,1,1,0,2,0,6,0,3,1,2,2,0,0,0,0,6,2,2,8,1,1,1,0,0,6,0,8,71,1,1,1,0,0,1,3,7,0,0,10,50,0,0,0,1,56,0,0,0,0,13,0,30,0,0,3,0,0,0,7,3,1,0,6,0,3,0,0,3
 Chatbot ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,1,8,0,0,0,0,0,61,4,0,0,0,0,9,2,0,0,3,1,0,1,5,0,1,0,0,13,0,0,0,1,7,0,0,0,0,0,2,0,0,1,0,0,2,157,0,1,114,0,0,4,2,0,0,0,0,0,2,0,16,2,0,0,2,0,0,0,0,1,1,0,0,0,2,2,1,0,3,2,0,4,3,2,1,0,0,0,4,5,11,0,0,12,65,0,0,0,0,47,1,0,0,0,4,0,12,0,0,0,0,0,0,23,5,0,0,2,0,5,2,0,10
 Audio Classification ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,2,1,1,0,0,0,14,0,0,0,0,0,4,0,8,0,0,1,0,0,0,0,9,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29,0,0,29,0,2,1,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,15,0,0,0,0,5,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2
 Autoencoder ,0,0,0,2,0,2,0,4,0,1,0,0,4,42,2,0,0,0,0,15,5,1,0,10,6,0,1,3,0,4,0,0,8,0,7,0,0,0,0,0,1,1,0,0,1,0,0,1,0,3,94,0,0,20,0,0,1,0,0,0,2,0,0,0,0,23,0,0,0,2,0,0,0,0,1,2,2,0,2,1,0,1,0,0,6,0,1,10,4,0,0,0,0,5,1,18,0,0,5,26,0,0,0,0,39,0,0,0,0,4,0,4,0,0,0,0,3,1,3,0,0,0,4,0,1,1,0,2
 Docker ,0,0,0,11,0,2,0,5,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,1,0,0,0,0,3,0,2,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,0,0,1
 Grid Computing ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
 Text Classification ,0,0,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,6,3,8,0,3,1,0,0,1,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,15,0,0,0,0,19,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Clouds ,0,0,0,67,0,55,4,29,0,0,15,0,3,37,0,0,0,0,4,4,3,2,0,14,3,2,0,0,0,1,0,0,0,2,0,0,0,1,28,5,0,0,0,1,1,6,1,1,1,0,30,0,26,11,0,2,10,1,0,0,30,0,4,0,8,4,1,6,7,2,1,1,145,1,0,20,23,163,1,2,0,0,0,0,2,6,25,14,2,0,106,1,0,0,0,4,3,0,26,101,0,1,6,0,83,0,1,0,13,156,18,0,0,0,0,0,25,0,5,1,4,25,17,4,1,4,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,5,0,10,9,15,0,0,0,0,0,26,0,0,0,0,0,3,1,0,0,9,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,68,5,1,3,0,2,1,0,0,2,0,9,2,0,0,0,0,0,0,0,7,0,0,88,29,0,0,0,0,37,0,2,0,0,6,0,0,0,9,0,0,0,0,5,0,1,0,2,0,9,0,0,0
 Topic Modeling ,0,0,0,2,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,10,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,9,0,1,0,0,15,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0
