Topic, Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , SVM , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Transformers & Attention , Grid Computing , Text Classification , Clouds , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Data Science , Data Mining , Image Segmentation , UGV 
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,0,0,7,0,0,0,0,22,1,0,0,0,0,0,1,4,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,4,0,1,5,2,0,8,2,0,2,27,0,1,0,0,0,4,0,0,0,0,4,0,2,2,0
 Regression ,1,0,1,2,0,0,0,0,21,0,0,0,0,0,1,0,10,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,3,0,18,0,1,0,1,2,18,0,0,0,6,0,4,0,0,0,2,2,8,1,24,0,17,0,0,0,1,0,1,0,0,4,1,12,2,0
 Multi-layer perceptron ,0,0,0,3,0,0,0,0,61,0,0,0,0,0,4,10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,2,0,0,0,1,0,5,3,2,0,31,0,0,0,0,16,16,0,0,0,9,0,2,1,0,0,2,21,0,0,50,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0
 Pose Estimation ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
 NLP ,0,0,0,7,1,2,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
 Automated Reasoning ,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,1,1,0,0,0,1,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,2,0,0,0,1,0,9,0,0,0,0,1,0,1,15,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Grid Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 Text Classification ,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
 Clouds ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,0,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0
 Mobile Robots ,0,0,2,1,0,0,0,2,5,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,0,1,0,3,0,3,0,0,0,214,5,2,0,0,1,0,2,2,0,0,0,4,4,0,61,81,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
 Information Retrieval ,1,2,0,30,1,7,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,4,0,0,0,1,0,0,1,1,0,0,0,0,5,1,0,2,0,0,0,1,1,2,0,0,0,0,0,8,0,1,0,3,0,2,0,32,0,4,0,0,0,0,0,0,0,0,3,0,4,0,0
 Dynamic Programming ,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Deep Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,1,0,0,0,1,0,0,7,36,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0
 Data Storage ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,1,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Reinforcement Learning ,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,0,1,0,0,0,0,0,3,0,0,0,2,0,0,7,28,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
 Face Detection ,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,2,0,2,0,0
 Bayesian Inference ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed File System ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
 Parallel Processing ,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0
 RNN ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,15,1,3,17,0,12,0,0,0,0,0,0,2,3,0,3,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,0,2,6,4,0,0,1,0,3,0,0,0,0,7,7,3,52,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0
 Markov ,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Back-propagation ,0,0,1,7,0,0,0,0,24,0,0,0,0,0,0,18,31,0,0,0,4,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,8,2,1,0,0,0,0,0,3,8,8,0,0,1,4,0,0,0,0,0,2,2,4,0,38,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0
 Cluster Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
 Data Center ,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
 Robots ,0,0,1,5,0,6,0,2,19,0,0,0,2,0,0,1,0,3,0,0,0,0,4,0,0,0,0,214,1,1,0,6,0,0,12,0,0,0,0,0,1,1,0,7,0,3,0,0,0,0,13,10,2,7,1,0,0,0,0,0,0,24,8,0,318,220,0,9,4,0,0,0,0,140,1,0,18,0,0,3,5
 Genetic Algorithm ,0,0,0,1,0,3,0,0,20,0,0,0,0,0,0,2,16,0,0,0,2,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,13,0,16,1,0,0,3,0,5,0,0,0,1,4,12,8,42,0,12,0,0,0,2,0,4,1,0,2,0,12,5,0
 Pattern Recognition ,6,0,3,22,1,1,1,0,121,0,0,0,0,0,14,18,16,1,2,0,2,0,0,0,0,0,0,2,2,1,0,6,0,3,1,0,0,0,0,2,2,1,6,0,0,8,0,0,0,10,16,0,2,0,1,25,0,22,2,3,0,28,28,5,6,141,0,7,0,0,0,1,0,0,0,0,14,0,8,9,0
 Search Algorithm ,4,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,4,0,1,0,1,0,0,0,0,2,0,0
 Humanoid Robots ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,1,0,0,3,0,1,0,0,31,0,0,0,0,0,4,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,3,25,0,0,0,0,0,4,1,0,0,6,4,6,0,23,0,3,0,0,0,3,0,0,0,0,0,0,3,2,0
 UAM ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Clustering ,2,0,2,16,0,1,0,3,38,0,0,0,0,0,1,4,2,0,0,0,9,0,0,0,1,0,1,2,8,0,0,1,0,0,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,5,22,0,0,1,4,0,0,1,3,0,6,9,2,2,60,0,5,0,0,0,7,0,0,0,0,3,0,29,20,1
 Statistical Learning ,0,0,0,1,0,0,0,0,6,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 Image Classification ,0,0,0,6,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,2,2,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,0,1,8,0,0,0,0,39,0,0,0,0,0,8,2,2,7,0,0,0,0,1,0,0,0,0,4,3,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,24,1,28,1,0,0,6,1,6,1,2,0,0,12,1,6,81,0,2,1,0,0,1,0,5,0,0,18,0,0,8,0
 Feature Extraction ,0,0,0,17,0,1,2,0,64,0,0,0,0,0,2,2,21,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,7,0,0,2,0,0,0,8,4,28,0,0,0,4,0,9,2,2,0,12,0,2,2,64,0,2,0,0,0,0,0,0,0,0,4,0,1,7,0
 Expert System ,0,1,2,30,0,9,0,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,4,0,0,0,0,12,5,0,0,0,6,0,2,0,0,0,1,2,0,1,80,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0
 Robotics ,0,1,0,2,0,4,0,0,10,0,0,0,0,1,2,1,0,3,0,1,1,0,1,0,0,0,0,61,0,0,0,7,0,1,7,0,0,0,0,0,2,0,3,0,0,0,0,0,0,318,8,6,0,6,0,0,2,2,0,0,0,6,2,1,0,98,0,7,7,0,0,0,0,64,2,0,16,0,1,1,0
 AI ,4,1,1,75,4,52,5,2,191,0,0,1,1,0,27,24,50,10,20,3,15,0,1,0,4,0,2,81,32,8,0,36,0,8,28,6,3,0,0,5,3,15,52,7,0,38,1,0,2,220,42,141,3,5,5,23,4,60,8,10,0,81,64,80,98,0,1,59,3,5,1,18,1,21,5,0,61,0,70,81,6
 Hardware Acceleration ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,3,0,0,8,1,5,2,0,43,0,0,0,0,0,1,17,6,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,1,0,0,2,9,12,7,1,0,0,3,0,5,0,1,0,2,2,9,7,59,0,0,0,0,0,2,0,0,0,0,1,0,21,1,0
 AUV ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
 Quantum Computing ,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Big Data ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 Supervised Learning ,0,0,0,3,0,0,0,0,18,0,0,0,0,0,4,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,1,1,0,0,3,0,7,0,1,0,1,0,0,0,18,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,2,0,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,140,4,0,1,0,0,0,0,0,0,0,0,5,0,0,64,21,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0
