Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 AWS ,0,0,0,35,0,2,0,4,0,1,0,0,0,5,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,89,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,1,1,0,1,14,0,0,7,0,1,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,0,0,1,0,0,0,3,20,0,0,3,0,15,0,0,0,3,21,3,0,0,1,0,0,5,0,1,1,1,2,2,3,0,0,0,0
 Language Modeling ,0,0,0,7,0,0,0,72,155,4,0,0,0,116,4,0,0,0,0,0,33,7,14,2,12,30,0,0,0,0,164,0,2,18,0,0,0,4,1,0,0,23,1,0,0,3,0,4,224,13,0,0,6,87,0,2,39,0,1,2,0,0,0,0,1,0,4,2,0,288,0,802,3,3,2,0,0,4,1,28,2,1,23,26,5,5,0,0,2,0,0,50,0,0,0,0,0,0,16,7,31,1,0,16,584,6,0,1,0,92,0,0,0,0,12,0,6,0,0,3,0,0,0,8,0,0,0,15,0,0,0,16,6
 Supercomputers ,2,3,1,35,7,0,101,30,0,0,0,0,0,40,2,0,0,0,0,0,13,3,0,0,14,3,3,0,0,0,1,0,1,3,1,0,0,0,4,1,83,0,69,0,4,0,0,3,1,4,0,0,0,12,0,15,11,0,0,2,0,0,0,69,4,8,1,51,0,0,0,0,12,0,4,17,78,0,0,13,17,5,5,11,1,0,3,0,1,0,6,23,0,2,0,0,0,0,0,4,2,3,0,20,120,0,4,20,0,45,0,27,0,1,89,0,1,1,1,0,0,405,0,4,0,3,5,16,63,0,0,0,0
 Classification ,2,435,4,251,0,72,133,3163,74,276,5,116,40,0,390,14,105,11,1,0,8094,3214,423,1,3518,1763,3,171,37,0,639,18,0,542,3,109,62,48,131,5,18,476,268,99,65,40,76,311,808,46,1,2,23,2961,16,39,3839,1,238,138,179,0,0,64,62,3,158,66,0,804,57,779,170,133,623,12,99,28,205,1700,956,31,4097,107,85,347,0,1,1363,3,721,2683,345,2372,1,18,0,8,348,1491,4824,533,35,1390,10572,2,14,47,8,10002,103,53,0,9,1039,15,1454,1,128,31,3,96,37,1591,52,88,11,3018,84,1402,79,56,136
 Semi Supervised Learning ,0,6,0,7,0,1,0,37,0,1,0,4,2,390,0,0,3,1,0,0,115,22,7,0,73,3,0,0,5,0,13,0,0,35,0,11,1,0,8,0,0,16,1,4,0,2,1,4,7,0,0,0,1,64,0,0,37,0,2,1,1,0,0,0,3,0,10,0,0,11,0,11,1,0,1,0,1,0,6,14,14,1,32,0,0,3,0,0,13,0,0,111,11,41,0,0,0,0,9,25,21,5,0,3,310,0,0,0,0,148,0,0,0,0,19,0,136,0,0,1,0,2,1,18,5,2,0,32,0,18,0,6,15
 Unmanned Vehicle ,0,0,0,0,0,2,1,3,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,1,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,48,8,0,4,1,0,0,0,0,1,0,163,4,0,0,0,0,0,0,0,6,0,1,0,69,55,0,0,0,0,5,35,1,0,0,3,0,1,0,3,0,0,0,0,8,0,0,0,1,0,5,34,0,0
 Meta Learning ,0,2,0,2,0,0,0,11,1,2,1,0,0,105,3,0,0,0,0,0,40,14,2,0,35,6,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,6,1,0,15,0,0,0,2,0,0,1,1,0,3,0,1,0,0,1,0,0,0,1,17,8,0,3,5,0,1,0,0,3,0,0,16,0,4,0,0,0,0,3,3,7,2,0,10,129,1,0,0,0,88,0,0,0,0,3,0,12,0,0,1,0,0,0,0,0,0,0,47,0,3,0,0,1
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,16,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,27,0,0,1,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,1,5,0,0,0,12,26,0,0,0,0,3,0,0,0,0,1,0,8,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,257,1,62,0,15,45,1287,16,13,2,33,13,8094,115,3,40,5,0,0,0,1683,107,0,2240,1034,0,54,8,0,200,1,0,108,2,12,25,6,28,2,5,185,36,136,7,3,5,73,166,16,0,2,2,587,0,13,808,0,77,29,112,0,0,15,20,0,85,25,0,246,15,219,36,38,150,4,17,4,115,415,535,10,1252,36,24,141,0,2,604,0,193,573,331,887,0,2,0,3,76,429,1822,103,20,269,3369,2,1,13,2,5465,17,12,0,2,256,2,622,0,13,14,0,36,17,450,21,29,3,832,30,273,16,26,46
 Trees ,0,103,0,54,0,6,39,452,3,5,1,7,3,3214,22,0,14,0,0,0,1683,0,14,0,1519,183,0,48,1,0,31,4,0,22,2,2,1,0,13,2,0,14,23,2,1,1,0,7,20,4,0,0,2,267,0,2,264,0,8,1,9,0,0,7,8,0,20,4,0,67,2,15,18,21,14,0,7,0,149,62,91,1,121,11,2,18,0,0,166,2,121,227,54,167,0,1,0,0,19,72,313,23,21,39,896,0,2,0,1,2494,5,0,0,1,151,0,168,0,2,1,0,7,1,75,3,17,1,353,4,117,4,2,9
 Sentiment Analysis ,0,1,0,29,0,0,3,30,16,4,0,14,0,423,7,0,2,0,0,0,107,14,0,0,52,8,0,0,1,0,303,0,0,8,3,0,0,9,1,1,0,45,7,0,0,31,1,0,40,1,0,0,0,72,0,1,58,1,1,3,0,0,0,3,0,1,2,0,0,50,3,6,2,5,5,0,1,1,3,10,9,0,4,1,4,1,0,0,3,0,0,34,5,3,0,0,0,0,10,1,31,6,1,2,446,0,2,0,1,285,0,0,0,0,125,1,32,0,0,12,0,1,0,4,4,6,0,79,0,0,0,15,1
 Sentence Similarity ,0,0,0,0,0,0,0,3,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,107,0,113,0,26,147,796,11,14,1,12,14,3518,73,2,35,4,0,0,2240,1519,52,1,0,883,1,121,5,0,77,3,0,70,0,11,2,5,24,1,3,27,58,48,35,6,8,48,87,14,0,0,5,548,5,11,458,0,19,123,13,0,0,11,65,1,82,7,0,213,13,180,115,26,307,6,67,0,149,618,452,3,552,29,39,15,0,0,472,1,150,445,280,166,0,5,0,0,60,127,391,135,28,502,2283,1,2,3,6,3667,19,4,1,2,471,3,377,2,42,3,0,36,5,295,33,57,5,1004,21,115,9,1,71
 Multi-layer perceptron ,0,65,0,18,0,5,39,343,3,7,0,30,3,1763,3,2,6,0,0,0,1034,183,8,0,883,0,0,9,4,0,9,5,0,25,0,5,4,2,19,0,2,6,4,2,0,0,1,24,12,3,0,0,2,249,1,0,276,0,9,43,14,0,0,5,8,0,60,10,0,217,12,262,16,3,566,0,6,0,20,84,286,5,293,13,4,31,0,0,219,0,23,142,28,54,0,0,0,0,4,28,345,30,8,34,1617,0,2,3,0,712,0,0,0,0,30,0,131,0,23,2,0,5,5,33,1,2,0,180,2,32,1,1,7
 Cyber Infrastructure ,0,0,0,2,0,0,0,9,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,14,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,1,0,0,0,1,17,1,0,0,0,0,0,5,0,1,0,0,1,5,0,0,0,0,0
 Pose Estimation ,0,2,0,2,0,2,29,112,0,1,0,0,0,171,0,5,0,1,0,0,54,48,0,0,121,9,0,0,1,0,2,0,0,6,0,2,0,0,4,1,0,0,1,0,2,0,0,117,0,4,0,0,4,109,0,0,159,0,3,3,39,0,0,0,3,0,10,3,0,15,0,4,4,0,2,0,1,0,1,481,12,0,25,10,21,30,0,0,17,0,133,29,1,8,0,0,0,0,8,282,78,3,0,312,1094,0,0,5,0,40,43,0,0,0,2,0,10,0,47,0,0,0,0,302,0,0,0,3,7,24,16,0,15
 Auto Encoder ,0,1,0,3,0,0,0,6,0,1,0,0,0,37,5,0,0,1,0,0,8,1,1,0,5,4,0,1,0,0,0,0,0,14,0,8,0,0,9,0,0,1,0,0,0,0,0,0,2,0,0,0,1,61,0,0,27,0,0,5,0,0,0,0,0,0,1,0,0,16,0,5,1,2,1,0,0,0,1,3,1,0,3,0,0,0,0,0,5,0,0,3,0,1,0,1,0,0,2,3,15,0,0,6,31,0,0,0,0,26,0,0,0,0,2,0,4,0,0,0,0,0,3,7,2,0,0,1,0,0,1,0,3
 Deep Neural Netork ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,4,1,41,0,1,0,278,229,112,0,164,1,639,13,0,1,0,0,0,200,31,303,6,77,9,0,2,0,0,0,11,0,27,26,1,0,21,10,3,3,99,18,3,2,28,19,9,514,7,0,2,6,256,0,9,114,4,16,11,3,0,0,1,3,0,3,3,0,159,0,171,6,32,7,1,1,46,9,85,25,1,22,11,7,2,0,1,19,0,7,174,9,11,0,0,0,9,18,18,60,36,2,40,1609,16,6,2,1,861,0,0,0,1,148,0,55,0,4,44,0,3,1,61,5,11,0,193,1,5,5,208,11
 Automated Reasoning ,0,1,0,2,0,2,0,17,1,44,0,0,0,18,0,0,0,0,0,0,1,4,0,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,1,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,10,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,8,155,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 Bert ,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Unsupervised Learning ,0,6,1,17,0,4,12,70,2,6,1,18,3,542,35,0,2,4,0,0,108,22,8,0,70,25,1,6,14,0,27,0,0,0,0,29,2,3,41,1,1,8,3,4,0,8,1,19,23,8,0,0,0,133,14,2,60,0,8,39,2,0,0,6,6,0,16,1,0,43,2,39,11,8,25,0,3,0,4,94,33,3,97,5,10,7,0,0,81,0,13,634,18,23,0,2,0,0,8,63,96,5,0,55,702,1,0,1,1,300,2,0,0,0,48,0,228,0,2,8,0,3,21,37,4,3,0,99,2,35,1,7,11
 Chatbot ,0,0,0,3,0,0,0,4,4,6,2,0,1,3,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,134,2,2,0,0,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
 Generative Adversarial Network ,0,2,0,0,0,0,9,20,0,0,0,0,0,109,11,0,0,1,0,0,12,2,0,0,11,5,0,2,8,0,1,0,0,29,0,0,0,5,17,0,0,0,0,0,5,0,0,5,8,0,0,0,5,308,0,1,202,0,1,4,3,0,0,0,2,0,8,0,0,22,3,3,2,2,1,0,2,0,3,11,0,0,4,4,2,2,0,3,3,0,13,9,1,18,0,0,0,0,14,10,20,0,0,15,192,0,0,0,0,105,1,14,0,0,6,0,15,0,2,0,0,9,0,46,20,1,0,3,3,16,4,0,32
 Audio Classification ,0,0,0,0,0,0,0,12,0,0,0,0,0,62,1,0,0,0,0,0,25,1,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,1,16,0,3,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,1,0,0,1,0,4,1,0,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,22,1,0,5,24,0,0,1,0,20,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,7,14,1,0,4,0,48,0,0,0,0,0,0,6,0,9,0,5,2,0,0,0,0,21,0,0,3,2,5,0,0,2,0,0,2,0,0,0,0,0,14,3,0,0,0,7,68,0,0,80,0,5,3,1,0,0,0,1,0,4,0,0,62,1,13,0,2,2,0,1,0,0,52,0,0,5,0,8,0,0,0,1,0,4,1,0,3,0,0,0,0,2,36,10,0,0,30,92,0,0,0,0,14,0,0,0,0,5,0,7,0,0,0,0,0,0,22,0,0,0,1,1,2,0,3,2
 Autoencoder ,0,1,0,3,0,3,4,24,1,2,0,1,4,131,8,0,0,1,0,0,28,13,1,0,24,19,0,4,9,0,10,0,0,41,0,17,1,2,0,0,0,1,1,1,0,1,0,4,3,0,0,0,4,250,0,1,71,0,1,4,0,0,0,2,1,0,3,2,0,52,3,10,1,7,6,0,4,0,3,14,4,0,8,2,2,2,0,0,15,0,4,21,2,9,0,0,0,0,13,9,55,0,0,10,100,0,0,0,0,83,1,0,0,0,7,0,12,0,0,2,0,3,7,13,1,1,0,6,1,4,1,0,8
 Docker ,2,0,0,37,0,3,0,9,0,0,5,0,1,5,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,0,121,0,1,0,4,0,0,0,0,0,0,7,0,2,7,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,13,1,24,0,0,0,0,0,0,1,0,4,1,0,0,0,16,0,0,0,1,2,0,0,5,13,0,2,0,0,14,0,0,0,7,29,5,0,0,0,0,0,15,0,1,0,2,7,3,0,0,3,0,1
 Grid Computing ,1,3,0,30,1,0,10,22,1,1,0,0,83,18,0,0,1,0,0,1,5,0,0,0,3,2,7,0,0,0,3,0,0,1,0,0,0,0,0,2,0,2,219,0,0,0,1,2,10,1,0,0,0,1,0,14,0,0,0,6,0,0,0,98,0,1,1,7,0,0,0,0,1,0,1,13,41,1,0,5,14,2,2,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,2,3,6,0,1,66,0,1,1,0,23,0,4,0,8,34,10,1,0,0,0,0,131,0,3,0,4,14,50,3,0,0,1,0
 Text Classification ,0,3,0,8,0,0,0,29,14,2,0,23,0,476,16,0,1,0,0,0,185,14,45,0,27,6,0,0,1,0,99,0,0,8,0,0,0,2,1,0,2,0,2,0,0,7,2,0,71,1,0,1,0,34,0,0,32,0,1,1,1,0,0,3,1,0,3,0,0,16,0,11,3,7,1,1,0,3,5,1,11,0,6,0,0,0,0,0,4,0,0,49,1,6,0,0,0,4,9,1,22,0,0,3,290,1,0,0,0,197,0,0,0,0,18,0,31,0,0,10,0,1,0,2,4,1,0,41,1,0,0,4,0
 Clouds ,3,0,3,844,0,169,48,382,0,9,89,1,69,268,1,0,0,0,0,9,36,23,7,0,58,4,14,1,0,0,18,3,0,3,2,0,0,0,1,121,219,2,0,0,17,4,95,23,37,13,4,0,0,85,0,298,40,0,7,62,6,0,0,318,3,39,0,68,0,15,1,17,59,4,2,34,1394,8,1,165,136,424,15,19,4,1,20,0,22,45,72,118,3,8,0,384,8,0,2,11,28,19,1,164,939,0,105,48,0,318,6,5,0,295,1164,409,7,0,2,1,0,272,0,36,1,17,594,165,41,8,11,2,0
