Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 AWS ,0,0,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,1,0,0,0,6,7,1,0,0,0,12,0,0,0,0,0,1,0,2,0,2,1,0,0,0,12,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,10,0,0,0,26,0,0,9,0,0,0,0,0,1,0,0,1,42,0,60,1,0,0,0,0,0,0,7,0,1,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0,3,7,0,0,2,49,0,0,1,0,9,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,2
 Supercomputers ,0,0,0,6,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,4,0,1,0,0,5,0,2,0,4,0,0,0,0,0,1,1,12,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,7,0,10,0,13,0,1,0,0,0,0,47,0,1,0,2,1,1,6,0,0,0,0
 Classification ,0,32,4,39,0,20,9,299,9,18,3,12,4,0,43,1,10,1,0,799,476,58,0,380,135,1,18,3,66,1,52,0,11,4,11,25,2,0,35,45,11,8,7,5,18,51,2,1,4,506,4,4,789,37,8,11,0,8,5,0,20,8,145,12,57,16,18,38,2,5,0,18,214,66,3,235,3,11,38,0,113,0,146,219,29,232,4,0,0,52,118,486,36,4,180,946,0,2,8,1,1191,17,4,2,172,1,139,0,8,12,0,16,6,198,3,16,3,257,11,112,11,9,12
 Semi Supervised Learning ,0,1,0,3,0,0,0,3,0,0,0,0,0,43,0,0,0,0,0,20,5,2,0,10,1,0,0,0,0,0,3,0,0,1,0,2,0,0,2,1,0,0,1,0,2,0,0,0,0,11,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,4,0,0,1,0,2,0,0,12,4,6,0,0,0,1,1,4,0,0,0,43,0,0,0,0,19,0,0,0,5,0,9,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,2
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,29,2,0,0,0,0,0,0,1,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Meta Learning ,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,8,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,37,0,6,0,5,2,109,1,0,0,1,2,799,20,0,2,0,0,0,209,15,0,260,117,0,4,2,20,0,13,0,0,5,0,5,0,0,14,3,8,1,1,0,2,12,0,0,0,114,0,1,203,7,9,6,0,1,0,0,7,5,54,4,8,5,12,7,1,0,0,9,44,58,1,96,0,3,19,0,67,0,35,58,22,88,1,0,0,10,33,176,2,1,29,271,0,1,2,0,594,13,4,0,29,0,47,0,2,10,0,9,2,67,1,3,0,67,4,21,5,4,1
 Trees ,0,10,0,14,0,1,6,61,0,0,0,0,0,476,5,0,1,0,0,209,0,2,0,223,19,0,4,1,3,0,1,0,0,0,0,2,0,0,2,5,0,0,0,0,1,1,1,0,0,29,0,0,52,1,0,0,0,3,0,0,3,2,17,0,1,1,5,0,0,0,0,19,13,13,0,18,0,0,2,0,21,0,9,39,6,22,0,0,0,4,5,50,5,3,13,128,0,0,0,0,346,0,0,0,26,0,24,0,0,0,0,1,0,10,0,2,0,48,1,13,1,0,1
 Sentiment Analysis ,0,0,0,10,0,0,0,3,1,0,0,2,0,58,2,0,0,0,0,15,2,0,0,9,0,0,0,0,52,0,0,2,0,0,1,0,0,0,8,0,0,0,4,0,0,3,0,0,0,19,0,0,15,0,0,0,0,1,0,0,0,0,9,0,2,0,1,1,0,0,0,1,3,3,0,1,0,1,1,0,0,0,0,5,3,1,0,0,0,0,0,7,1,0,2,75,0,1,0,1,40,0,0,0,18,0,5,0,0,3,0,0,0,3,1,1,0,13,0,0,0,3,0
 Sentence Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,10,0,21,0,2,17,94,1,1,1,2,1,380,10,1,2,0,0,260,223,9,0,0,67,0,19,1,7,0,6,0,2,0,1,5,0,0,4,8,6,6,1,1,3,6,2,0,2,100,0,2,73,2,7,3,0,2,5,0,9,0,38,3,12,7,7,17,0,6,0,17,76,31,1,44,1,1,0,0,47,1,27,34,21,13,1,0,0,11,12,40,12,5,63,236,0,1,0,0,421,4,0,1,86,1,47,2,6,1,0,3,0,35,2,10,2,101,2,15,3,0,11
 Multi-layer perceptron ,0,4,0,1,0,2,0,26,1,0,0,1,0,135,1,0,0,0,0,117,19,0,0,67,0,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,36,0,0,44,1,0,0,0,0,0,0,3,1,17,1,6,4,0,16,0,0,0,0,9,16,0,15,0,0,1,0,8,0,12,9,0,4,0,0,0,2,0,27,5,0,3,60,0,0,0,0,66,0,0,0,2,0,5,0,0,0,0,0,0,4,0,0,0,11,0,2,0,0,2
 Cyber Infrastructure ,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,0,0,0,3,9,0,0,0,0,0,18,0,0,0,1,0,4,4,0,0,19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,44,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,39,1,0,0,2,1,1,0,0,0,16,4,0,2,0,0,0,4,25,5,0,0,37,112,0,0,3,0,7,8,0,0,0,0,4,0,3,0,0,0,0,36,0,0,0,2,1,1,1,0,5
 Auto Encoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,8,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,8,0,0,0,29,15,9,0,12,0,66,0,0,0,0,0,20,3,52,0,7,0,0,0,0,0,0,2,1,0,0,3,2,0,0,14,0,0,0,4,1,1,40,0,1,0,37,0,1,20,3,0,0,0,0,0,0,0,0,14,0,15,1,6,0,0,1,4,2,12,0,0,2,0,0,0,0,1,0,0,14,2,2,0,0,1,0,3,7,1,0,3,142,0,0,0,1,112,0,0,0,15,0,8,0,1,16,0,1,0,11,2,2,0,26,0,0,0,22,0
 Automated Reasoning ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,1,0,0,1,3,8,0,0,1,1,0,52,3,0,0,0,0,13,1,0,0,6,1,0,1,3,2,0,0,0,4,0,0,8,0,0,1,2,0,0,1,0,2,2,0,0,0,18,3,0,5,0,1,0,0,0,2,0,2,0,4,0,3,1,1,0,0,0,0,0,9,1,1,11,0,0,0,0,7,0,0,40,0,2,1,0,0,1,2,11,1,0,4,44,1,0,0,0,35,0,0,0,3,0,26,0,0,2,0,0,3,7,0,1,0,9,0,2,0,2,1
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,4,3,0,0,0,41,0,0,14,0,0,1,0,0,1,0,6,0,4,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,42,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,1,0,0,1
 Audio Classification ,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,1,4,0,0,1,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,12,2,1,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,10,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
 Autoencoder ,0,1,0,0,0,0,1,5,0,0,0,0,0,25,2,0,0,0,0,5,2,0,0,5,4,0,0,1,2,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,15,0,0,0,0,0,1,0,1,1,7,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,5,1,2,0,0,0,1,1,14,0,0,0,18,0,0,0,0,12,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,1,0,2,0,0,2
 Docker ,0,0,0,6,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,7,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,1,2,0,1,0,0,4,0,0,1,4,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
 Grid Computing ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
 Text Classification ,0,0,0,3,0,0,0,2,3,0,0,3,0,35,2,0,0,0,0,14,2,8,0,4,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,5,0,0,9,1,0,0,0,0,0,0,0,0,7,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,21,1,0,0,0,21,0,0,0,1,0,3,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0
 Clouds ,0,0,0,120,0,34,8,49,0,1,12,0,9,45,1,0,0,0,2,3,5,0,0,8,0,0,0,0,0,2,2,0,0,0,0,0,26,7,0,0,0,6,0,13,3,4,3,0,0,13,0,51,0,0,14,0,0,26,1,5,0,5,2,0,1,10,0,0,1,185,2,0,26,13,78,3,3,0,0,2,7,7,21,25,0,1,78,7,0,0,3,5,2,0,25,164,0,23,8,0,54,0,0,36,182,60,3,0,0,0,0,43,0,2,0,5,60,25,3,1,2,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,4,0,7,13,9,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,63,9,0,0,0,9,1,0,2,0,25,1,0,0,0,0,0,0,0,3,0,0,72,36,0,0,0,0,15,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0
 Topic Modeling ,0,0,0,1,0,0,0,2,0,0,0,1,0,7,1,0,0,1,0,1,0,4,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,7,0,1,0,0,12,0,0,0,9,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,1,0
 RDBMS & SQL ,0,0,0,44,0,3,0,59,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,13,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,21,0,20,2,0,7,0,0,0,44,1,0,0,0,0,0,2,0,0,0,1,1,13,0,0,0,1,0
 Mobile Robots ,0,0,0,0,0,6,13,10,0,0,0,0,0,18,2,0,0,0,0,2,1,0,0,3,2,0,6,0,1,0,2,0,4,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,10,0,0,12,0,3,3,0,0,1,0,3,0,4,0,1,1,0,0,0,0,0,0,576,9,0,0,7,6,1,0,0,0,30,8,0,0,0,0,0,0,18,3,0,0,247,191,0,0,0,0,8,15,0,0,1,0,1,0,26,0,0,0,0,13,0,0,0,0,3,2,20,0,1
 Information Retrieval ,0,0,0,8,0,0,0,38,1,2,0,10,0,51,0,0,0,0,0,12,1,3,0,6,0,0,0,0,40,0,2,0,3,0,0,0,0,0,3,4,0,0,4,4,0,0,1,0,0,22,0,2,16,1,1,0,0,1,1,0,0,2,6,1,2,3,1,2,1,0,5,0,4,1,0,5,5,0,0,0,0,0,2,16,0,0,0,0,1,0,4,5,1,0,3,85,1,1,0,0,38,0,0,0,11,0,2,0,0,5,0,1,1,5,0,0,0,17,0,0,0,6,1
 Dynamic Programming ,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,7,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,7,9,0,0,1,0,3,0,0,0,1,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0
