Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,1,0,3,0,1,0,3,0,0,0,1,0,54,0,0,0,1,0,8,4,1,0,11,0,0,0,3,3,0,8,0,7,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,25,0,15,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,14,7,1,0,0,2,5,3,0,0,1,39,0,0,0,0,27,0,0,0,7,0,19,0,0,0,0,0,0,2,3,1,0,6,0,2,0,1,2
 Unmanned Vehicle ,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,31,1,0,0,0,0,0,2,0,0,0,6,8,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
 Meta Learning ,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,4,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,9,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,27,0,6,0,7,11,117,0,2,0,0,5,843,8,2,3,0,0,0,290,14,0,321,91,0,7,1,22,0,9,2,3,1,0,6,2,0,22,12,1,1,2,0,3,9,0,2,165,0,224,3,7,0,2,0,1,0,0,8,4,73,2,8,2,3,24,0,2,0,27,43,67,6,69,2,2,16,0,0,53,0,47,50,75,16,0,0,26,26,194,16,1,34,270,0,0,2,0,801,0,1,0,58,0,62,0,3,0,0,10,2,45,1,7,1,81,2,20,1,1,6
 Trees ,0,22,0,12,0,3,6,87,2,3,0,2,0,563,4,0,4,0,0,290,0,3,0,302,43,0,6,0,9,0,5,2,0,1,0,5,1,0,5,8,0,0,0,0,1,2,2,1,100,0,77,0,1,0,1,0,1,3,0,3,0,26,1,3,6,5,5,0,2,0,39,6,9,0,13,6,0,1,0,0,27,2,40,37,34,8,0,0,9,6,64,2,1,9,133,0,0,0,0,557,3,0,0,34,0,33,0,2,0,0,3,1,16,1,6,0,55,0,19,0,1,2
 Sentiment Analysis ,0,0,0,4,0,0,0,6,2,0,0,3,0,76,1,0,0,0,0,14,3,0,0,13,2,0,0,0,58,0,3,0,0,0,0,0,0,0,7,1,0,0,7,0,0,5,0,0,22,0,18,0,1,0,0,0,0,0,0,0,0,19,2,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,4,0,4,1,0,0,69,0,0,0,0,63,0,0,0,33,0,7,0,0,2,0,0,0,0,1,0,0,16,0,0,0,1,0
 Sentence Similarity ,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,17,0,19,0,11,24,90,1,1,0,1,2,461,11,0,8,2,0,321,302,13,0,0,77,0,19,1,14,0,8,0,5,0,2,5,0,0,6,13,3,12,0,1,6,8,2,2,174,1,135,1,2,19,2,0,4,6,0,13,0,45,3,14,13,3,37,1,15,0,31,92,48,0,38,5,2,3,0,0,45,0,58,58,26,28,1,0,12,20,61,17,4,67,241,0,0,1,1,688,6,2,0,96,0,51,0,3,0,0,8,2,54,5,16,2,100,3,13,2,1,15
 Multi-layer perceptron ,0,4,0,3,0,1,9,23,0,0,0,1,0,135,0,2,0,0,0,91,43,2,0,77,0,0,5,1,2,0,4,0,1,0,0,4,0,0,2,0,0,0,0,0,2,1,0,2,74,0,99,0,0,14,0,0,0,0,0,4,0,46,2,10,0,1,18,0,0,0,3,11,17,0,16,1,0,0,0,0,7,0,2,10,4,3,0,0,2,0,14,5,2,7,95,0,0,2,0,99,0,0,0,8,0,18,0,6,0,0,0,0,0,1,0,0,12,1,0,0,0,1
 Cyber Infrastructure ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Pose Estimation ,0,0,0,1,0,1,2,9,0,0,0,0,0,12,0,2,0,0,0,7,6,0,0,19,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,35,0,66,0,2,0,4,0,0,0,0,2,0,3,0,1,0,0,1,0,0,0,0,64,1,0,0,0,3,3,0,0,0,0,25,2,0,0,0,0,2,26,6,2,0,40,85,0,0,0,0,6,3,0,0,0,0,1,0,9,0,0,0,0,34,0,0,0,0,0,3,4,0,6
 Auto Encoder ,0,0,0,0,0,0,0,4,0,0,0,0,0,7,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,18,0,9,0,0,1,0,0,0,0,0,0,0,5,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,2,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 NLP ,0,1,1,2,0,1,0,24,23,4,0,19,0,93,3,0,1,0,0,22,9,58,1,14,2,0,0,0,0,3,6,7,0,0,6,1,1,0,16,3,0,2,6,1,0,48,0,2,90,0,39,2,6,3,1,0,0,0,0,0,0,56,0,26,0,2,1,0,0,2,1,6,2,0,5,1,3,0,0,0,5,0,0,20,3,1,0,1,7,3,3,4,0,6,189,1,5,0,0,139,0,0,0,27,0,11,0,0,11,0,0,0,19,1,3,0,19,0,0,1,21,4
 Automated Reasoning ,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,1,0,7,0,2,1,2,0,2,0,1,0,50,8,0,0,1,0,9,5,3,0,8,4,1,1,5,6,0,0,0,12,1,0,19,1,0,2,0,0,0,1,0,1,2,0,0,38,7,19,0,2,0,1,0,1,0,0,1,0,13,1,3,0,3,1,0,0,0,0,4,0,0,12,0,0,2,0,0,9,0,2,66,1,4,0,0,1,2,12,1,0,4,50,0,0,0,0,52,0,0,0,15,0,26,0,0,2,0,0,3,9,0,0,0,17,0,1,0,1,2
 Chatbot ,0,0,0,3,0,0,0,3,3,0,2,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,44,0,2,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,2,0,0,0,0,8,10,0,0,0,0,0,33,7,0,0,1,0,3,0,0,0,5,1,0,0,3,0,0,12,0,0,0,3,7,0,0,0,0,0,0,0,0,1,4,0,3,107,0,71,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,2,0,0,7,0,0,2,2,0,1,0,0,1,0,5,3,16,0,0,0,10,3,8,0,0,3,78,0,0,0,0,44,0,1,0,2,0,3,0,0,0,0,7,0,15,14,1,0,0,2,7,2,0,21
 Audio Classification ,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,5,20,0,25,0,0,1,0,0,0,0,0,4,0,19,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,8,0,0,0,1,19,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
 Autoencoder ,0,0,0,0,0,1,3,9,0,1,0,0,0,42,2,0,0,1,0,6,5,0,0,5,4,0,2,3,1,0,19,0,7,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,79,0,24,1,1,2,0,0,0,0,0,2,1,12,2,1,1,4,2,0,2,0,2,7,2,0,2,1,2,0,0,0,5,0,0,3,3,0,0,0,3,3,19,0,0,3,29,0,0,0,0,26,1,0,0,3,0,6,0,0,1,0,0,2,5,1,1,0,1,1,1,0,0,4
 Docker ,1,0,0,9,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,38,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,1,10,0,0,0,0,0,0,0,0,3,1,0,0,8,0,0,0,0,0,0,4,8,0,0,0,0,1,0,0,3,7,1,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0
 Grid Computing ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Text Classification ,0,0,0,0,0,0,0,2,1,0,0,1,0,49,1,0,0,0,0,22,5,7,0,6,2,0,0,0,16,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,13,0,13,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,5,2,0,0,2,2,1,0,0,0,0,29,0,0,0,0,35,0,0,0,6,0,2,0,0,4,0,0,0,1,0,1,0,7,0,0,0,1,0
 Clouds ,0,0,3,121,0,51,8,39,0,1,27,0,11,44,0,0,0,0,1,12,8,1,0,13,0,0,0,0,3,1,0,0,0,0,0,0,38,7,1,0,0,6,0,12,4,5,3,0,31,0,26,37,3,9,1,0,42,0,2,0,13,5,0,3,10,1,0,3,189,0,1,29,17,131,5,3,1,0,4,0,3,7,16,15,2,1,130,0,1,1,5,1,1,24,146,0,14,20,0,74,0,0,27,225,31,1,0,1,1,0,38,0,16,0,4,54,15,9,3,5,1,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,1,4,0,10,9,6,0,0,0,0,1,17,0,2,0,0,0,1,0,0,0,12,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,3,1,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,105,7,0,1,1,2,1,0,0,2,0,26,2,0,0,0,0,1,0,0,0,0,110,32,0,0,0,0,20,4,1,0,6,0,0,0,11,0,0,0,0,2,0,0,0,1,0,3,1,0,6
 Topic Modeling ,0,0,0,1,0,0,0,2,0,0,0,1,0,11,1,0,0,0,0,2,0,7,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,9,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0
 RDBMS & SQL ,0,0,0,31,0,3,0,25,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,17,0,11,0,0,6,0,0,1,27,0,0,0,1,0,0,0,0,0,0,1,0,10,1,0,0,0,0
 Mobile Robots ,2,0,0,1,0,3,5,4,2,0,1,0,0,20,0,2,0,0,0,3,1,0,0,6,2,0,3,0,0,0,1,0,1,0,1,2,0,0,0,4,0,3,0,2,0,0,2,0,20,0,17,0,0,12,0,0,3,0,0,4,0,8,0,5,6,1,3,0,0,0,0,602,7,0,5,3,2,1,0,0,2,0,23,6,2,0,0,0,2,17,3,1,0,209,179,0,0,0,0,14,6,0,0,0,0,3,0,29,0,0,0,0,13,0,0,0,0,1,1,11,0,0
 Information Retrieval ,0,1,0,5,0,1,0,37,5,5,0,8,0,42,1,0,0,0,0,9,2,5,0,8,1,0,0,1,48,0,2,3,4,0,3,2,0,0,5,5,0,3,4,3,0,0,1,1,22,0,4,1,0,3,0,0,1,0,1,1,0,17,0,5,0,2,0,0,1,0,1,0,1,1,4,1,0,0,1,0,0,0,0,20,1,1,0,1,3,1,8,1,0,1,86,0,3,0,0,46,0,1,0,15,0,5,0,0,7,0,0,0,5,1,1,0,19,1,0,0,3,1
 Dynamic Programming ,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,8,0,2,0,0,9,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,8,1,1,1,0,0,0,0,0,0,0,11,1,0,0,1,0,0,2,1,1,0,1,10,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,2,0,1,0,0
