Topic, Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Automated Reasoning , NLP , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0
 SVM ,5,0,1,11,0,0,0,0,0,94,0,0,0,0,15,15,0,0,0,3,2,0,0,0,0,0,4,8,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,5,2,0,0,4,0,0,0,0,7,3,31,0,0,0,9,0,6,9,6,15,15,0,0,1,66,0,0,32,0,4,1,5,0,0,0,2,6,0,5,0,0,0
 Regression ,2,0,0,8,0,0,0,0,0,55,0,0,1,15,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,0,1,0,2,0,1,4,2,0,15,0,0,0,0,4,11,19,1,0,0,11,0,11,2,2,1,1,6,0,3,39,0,0,23,0,0,0,8,0,1,0,3,16,0,4,0,0,0
 Multi-layer perceptron ,2,0,0,4,0,0,0,2,0,57,0,0,0,15,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,4,9,0,0,35,0,0,0,0,1,7,12,0,0,0,11,0,5,0,7,4,8,0,0,2,72,0,0,3,0,0,0,1,0,0,0,2,2,0,0,0,0,0
 Cyber Infrastructure ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,1,0,1,0,0,8,2,0,0,7,25,1,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0
 Automated Reasoning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,5,0,4,0,2,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0
 Unsupervised Learning ,0,0,0,4,0,2,0,0,0,20,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,2,0,18,0,0,1,2,0,0,0,18,0,0,4,0,0,0,4,0,0,0,1,3,0,1,0,0,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 Grid Computing ,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
 Text Classification ,0,0,0,1,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,1,0,10,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,6,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0
 Mobile Robots ,0,0,0,3,0,5,0,0,0,7,0,0,1,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,4,0,0,0,1,1,2,1,3,0,0,0,0,0,0,274,7,6,0,0,0,1,0,2,0,0,5,5,1,0,78,186,0,0,1,4,0,0,1,0,4,0,9,1,0,4,3,0,0
 Information Retrieval ,1,2,3,38,2,3,0,6,0,25,0,0,0,5,1,0,0,0,0,7,0,0,0,0,0,0,3,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,1,0,0,1,9,3,1,0,0,3,0,13,0,0,1,4,0,0,1,73,0,0,7,0,0,0,2,0,0,0,2,7,0,0,0,0,0
 Dynamic Programming ,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 Deep Learning ,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0
 Data Storage ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Reinforcement Learning ,0,0,0,2,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,20,3,0,1,0,0,0,0,1,0,1,1,0,0,0,11,30,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0
 Face Detection ,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,3,0,2,0,0,0,5,0,0,0,29,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0
 Distributed Computing ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed File System ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0
 Parallel Processing ,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
 RNN ,0,0,0,1,0,0,0,0,0,4,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,10,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 Voice Recognition ,0,2,0,29,2,0,0,32,0,18,0,0,0,2,4,9,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,0,2,0,0,0,2,0,1,0,4,0,3,0,0,0,0,9,0,2,3,0,0,1,0,9,0,0,3,10,0,0,2,88,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
 Markov ,0,0,3,1,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,7,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,3,0,0,0,1,0,0,0,0,2,0,11,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Back-propagation ,0,0,0,4,0,0,0,0,0,25,0,0,0,4,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,8,12,0,0,0,5,0,4,0,5,3,9,0,0,0,31,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
 Cluster Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robots ,1,0,3,9,0,5,0,0,0,21,0,1,2,7,4,1,0,11,0,0,2,0,0,0,1,0,0,0,0,0,274,1,0,0,9,1,2,20,3,0,0,0,1,2,10,9,4,0,1,0,0,0,0,0,20,11,1,37,2,3,2,5,4,0,23,4,3,0,443,572,0,0,17,13,0,3,1,0,134,0,20,3,0,5,1,0,1
 Genetic Algorithm ,2,1,2,9,0,1,0,0,0,32,0,0,0,3,11,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,8,0,0,1,0,20,0,13,2,0,0,2,0,8,0,3,2,6,9,0,11,56,0,0,22,0,1,1,5,0,6,0,4,10,0,5,0,0,0
 Pattern Recognition ,14,2,2,22,0,3,0,2,0,134,0,0,0,31,19,12,0,2,0,0,3,0,0,0,0,0,0,1,0,0,6,3,2,0,0,0,0,0,2,0,1,0,0,1,0,2,3,0,12,0,0,0,0,11,13,0,7,0,0,28,0,30,4,5,18,26,6,0,5,182,0,0,11,0,1,0,1,0,0,0,20,9,0,15,0,0,1
 Search Algorithm ,7,0,0,2,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,2,7,0,0,0,2,0,0,0,0,1,1,0,0,0,24,0,0,0,0,7,0,2,0,1,0,0,2,0,0,0,0,0
 Humanoid Robots ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 Dimensionality Reduction ,1,0,1,6,0,0,0,0,0,40,0,0,0,9,11,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,5,0,0,0,0,3,2,28,2,0,0,0,0,8,0,2,6,17,3,0,0,22,0,0,2,0,0,1,1,0,0,0,1,9,0,3,0,0,0
 UAM ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Clustering ,4,0,1,15,0,4,0,1,0,69,1,0,1,6,11,5,0,1,0,2,18,0,0,0,0,0,1,0,0,0,2,13,0,0,0,0,0,1,2,1,0,0,1,2,1,9,2,0,4,2,0,0,0,5,8,30,0,0,0,8,0,0,1,0,5,7,2,0,3,84,0,0,11,0,0,1,7,0,2,1,5,45,0,21,0,0,0
 Statistical Learning ,0,0,0,2,0,0,0,0,0,5,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,2,3,1,0,0,2,9,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 Image Classification ,0,0,1,5,0,0,0,0,0,43,0,0,0,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,5,0,0,0,2,0,0,2,0,2,11,0,0,0,13,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0
 Object Recognition ,0,0,0,10,0,0,0,0,0,36,0,0,1,15,1,4,0,8,0,0,1,0,0,0,4,0,0,0,0,0,5,1,3,0,0,0,0,1,0,0,1,0,0,4,0,3,0,0,3,0,0,0,0,23,2,18,1,0,0,6,0,5,3,2,0,14,0,0,13,102,1,0,6,0,0,0,2,0,0,0,17,0,0,10,0,0,0
 Feature Extraction ,4,0,0,25,0,0,0,0,0,87,0,0,0,15,1,8,0,2,0,0,2,0,0,1,0,0,0,0,0,1,5,4,2,0,2,1,3,0,5,0,0,0,0,0,1,10,0,0,9,0,0,0,0,4,6,26,1,0,0,17,0,7,1,11,14,0,0,0,4,93,1,0,6,0,0,2,0,0,0,0,5,3,0,7,0,0,0
 Expert System ,0,1,0,19,0,5,0,0,2,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,0,0,3,0,2,0,0,0,0,0,0,1,61,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0
 Ensemble Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,1,2,5,0,3,0,0,0,9,0,0,1,1,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,1,11,0,2,1,0,0,0,2,2,1,0,0,0,0,0,0,443,11,5,0,12,0,0,3,3,2,0,13,4,1,0,0,254,0,0,9,11,1,0,0,0,69,0,14,0,0,1,3,0,0
