Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , Clouds , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Classification ,0,28,3,3,127,5,16,0,8,0,0,12,0,5,0,294,55,6,122,87,0,7,15,1,0,15,0,0,5,0,1,19,5,0,0,2,18,56,4,0,1,0,3,0,15,3,14,0,3,5,4,3,5,50,11,5,32,2,1,1,10,44,49,250,4,1,16,0,57,0,3,119,25,79,0,1,60,205,27,2,33,506,2,1,275,3,4,10,0,50,0,5,1,0,50,2,1,137,3,80,2,1,6
 Semi Supervised Learning ,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,12,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 Meta Learning ,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,8,3,2,60,2,2,0,0,0,294,1,0,0,0,0,22,2,65,31,0,0,7,0,0,1,0,0,2,0,1,13,10,0,0,0,4,9,1,0,0,0,0,0,1,1,8,0,2,0,8,0,6,22,1,3,5,2,0,0,1,12,10,85,1,0,2,0,18,0,0,33,24,15,0,0,18,88,2,0,19,155,0,1,156,0,0,8,0,20,0,0,0,0,5,3,0,34,4,15,0,2,3
 Trees ,0,0,0,0,6,0,0,0,0,0,55,0,0,0,0,22,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,1,3,2,2,1,17,0,0,28,0,0,0,0,4,0,0,0,0,1,0,0,9,0,0,0,0,0
 Sentiment Analysis ,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Regression ,0,3,3,5,23,0,0,0,0,1,122,1,0,2,0,65,25,0,0,43,0,1,2,0,0,2,0,0,0,0,0,1,4,0,0,0,3,4,0,0,0,0,2,0,0,10,0,0,0,2,5,0,4,12,7,0,15,0,0,2,1,19,17,26,1,3,0,0,14,0,0,8,11,3,0,1,3,14,4,0,12,77,0,1,60,0,6,2,0,13,0,3,0,0,5,1,0,28,0,5,0,0,1
 Multi-layer perceptron ,0,3,0,2,10,0,0,0,0,0,87,0,0,0,0,31,2,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,5,1,10,19,1,0,31,0,0,0,0,2,6,17,2,0,1,0,13,0,0,6,0,1,0,0,2,18,4,0,1,98,0,0,10,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0
 Cyber Infrastructure ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,1,0,2,0,4,1,1,1,0,0,6,8,0,0,11,67,0,0,0,0,5,0,0,0,0,4,0,0,8,0,0,0,1,1,0,0,0
 NLP ,0,0,0,0,17,12,10,0,4,0,15,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3,0,0,2,3,0,1,0,0,0,0,0,0,8,1,0,1,0,1,0,3,0,0,64,0,0,31,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,10,0
 Automated Reasoning ,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Bert ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,2,2,0,0,0,1,0,15,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,4,1,3,0,0,0,0,3,0,0,24,2,1,0,0,1,5,0,0,3,29,0,0,7,0,0,0,0,6,0,0,0,0,1,1,0,5,0,2,0,0,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,0,2,1,1,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,2,0,0,0,0,15,0,0,0,0,6,1,0,0,0,0
 Text Classification ,0,0,0,0,0,0,1,0,2,0,19,0,0,0,0,13,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Clouds ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,0,0,13,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
 Mobile Robots ,0,0,0,6,6,0,3,0,1,0,18,1,2,0,0,4,0,0,3,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,13,0,0,6,1,0,1,2,4,1,0,2,0,0,0,1,459,12,0,2,4,0,0,2,0,2,10,0,0,0,0,12,11,0,0,138,206,0,0,7,0,2,0,0,3,0,16,0,0,9,0,0,0,0,1,6,0,0
 Information Retrieval ,1,0,1,1,62,9,4,0,29,0,56,1,0,0,0,9,0,0,4,1,0,0,36,0,0,1,0,0,2,0,4,3,0,0,0,1,0,0,4,0,4,2,1,1,1,0,0,0,0,1,0,0,0,12,1,0,0,0,4,0,0,1,2,10,2,0,0,0,0,0,0,21,2,1,1,0,1,12,1,0,1,112,0,0,16,0,0,2,0,1,0,0,0,0,2,1,0,23,0,1,0,4,0
 Dynamic Programming ,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,1,0,1,0,2,1,0,0,0,0,1,0,1,0,2,11,1,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Deep Learning ,0,0,0,0,2,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 Convolutional Networks ,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Automated Question Answering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10,0,0,0,0,2,0,0,2,0,2,0,0,4,6,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0
 Reinforcement Learning ,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,26,0,3,0,0,0,0,38,8,2,3,13,0,0,1,0,0,2,2,0,0,2,2,1,0,0,16,76,0,0,17,0,0,0,0,12,0,3,0,0,2,0,0,1,0,0,0,0,0
 Face Detection ,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,8,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9,2,3,0,0,0,0,0,0,0,1,0,1,0,0,12,5,0,0,5,30,0,0,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0
 Photonic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Distributed Computing ,0,0,0,1,0,0,1,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,13,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,0,0,0,0,1,4,0,1,0,0,3,0,0,0,0,0
 Bayesian Inference ,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,1,0,0,0,4,3,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,2,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,8,0,0,5,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0
 Parallel Processing ,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,1,0,0,6,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
 RNN ,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,10,0,0,0,1,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,11,34,0,0,7,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0
 Voice Recognition ,0,0,1,2,53,12,1,0,46,0,50,0,0,0,0,22,0,0,12,19,0,0,8,0,0,3,0,0,3,0,0,1,0,0,0,0,4,12,0,0,0,0,0,0,1,1,2,0,0,1,0,1,2,0,4,0,0,0,1,0,0,18,1,2,1,5,3,0,3,0,0,7,0,0,0,0,2,28,2,0,7,181,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,1,0
 Markov ,0,0,0,5,5,0,0,0,0,0,11,0,0,0,0,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,26,2,0,0,4,1,0,1,4,0,0,0,0,0,0,0,14,5,4,0,1,3,0,0,0,2,5,2,1,0,0,5,1,0,0,4,33,0,0,5,0,0,0,0,3,0,0,0,0,1,1,0,3,0,13,0,0,1
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
 Back-propagation ,0,1,0,2,6,0,0,0,0,0,32,0,0,0,0,5,0,0,15,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,10,9,8,1,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,11,49,0,0,6,0,0,0,0,6,0,0,0,0,2,0,0,4,0,2,0,0,0
