Topic, Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,1,1,0,0,1,0,0,0,0,20,0,0,0,0,9,3,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,5,0,1,0,1,4,0,0,0,0,24,0,0,5,0,0,0,0,0,5,0,0,0,0,2,0,0,5,0,0,0,0,1
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0
 Meta Learning ,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,11,2,0,3,64,1,0,4,0,384,9,0,0,0,0,43,4,81,75,0,0,0,15,0,8,0,0,0,0,0,0,20,0,4,0,0,1,9,19,2,0,0,0,0,4,4,0,6,1,3,0,6,1,2,17,1,10,0,0,0,1,15,24,57,3,1,1,0,25,0,0,32,19,57,0,2,11,101,7,0,13,203,0,0,198,2,0,0,3,0,33,0,0,0,0,14,1,0,50,0,16,0,1,5
 Trees ,9,0,0,2,12,0,0,4,0,92,3,0,0,0,43,0,0,35,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,2,0,0,1,0,8,0,0,8,1,1,0,0,3,12,2,1,0,35,0,0,42,0,0,0,0,0,2,0,0,0,0,2,0,0,18,0,2,0,0,0
 Sentiment Analysis ,0,0,0,1,1,0,0,1,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,6,2,0,12,47,0,1,0,0,144,3,0,2,0,81,35,0,0,38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2,0,0,0,0,0,2,3,1,1,8,0,2,1,5,10,4,22,0,2,0,5,24,25,20,0,0,0,0,28,0,0,15,13,6,0,1,2,18,8,0,17,99,0,0,109,0,0,0,6,0,10,0,1,0,0,8,2,0,59,0,5,1,0,2
 Multi-layer perceptron ,2,0,0,1,17,0,3,3,1,82,0,0,0,0,75,1,0,38,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,14,1,1,3,0,2,0,2,6,4,21,0,27,0,0,0,0,8,10,10,0,0,2,0,14,0,0,8,0,1,0,0,2,14,0,1,2,76,0,0,18,0,0,0,2,0,13,0,1,0,0,2,0,0,10,0,2,0,0,0
 Cyber Infrastructure ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,22,0,0,1,0,1,0,0,0,10,0,0,1,0,0,5,5,0,0,17,48,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,0,0
 Auto Encoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,0,6,15,5,5,0,21,1,0,0,0,15,4,0,3,2,0,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,4,0,0,80,2,0,31,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,0,0,7,0
 Automated Reasoning ,0,0,0,0,3,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,0,3,1,0,1,0,20,4,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,8,4,5,0,2,0,0,2,0,1,23,0,4,0,1,3,3,2,0,3,39,0,0,6,0,0,0,0,0,10,0,1,0,1,0,0,0,2,1,1,1,0,1
 Chatbot ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,3,0,0,3,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,10,0,0,4,0,1,1,3,0,0,0,0,12,0,0,0,2,3,0,0,0,0,0
 Text Classification ,0,1,0,0,4,0,0,2,0,25,1,0,0,0,20,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
 Clouds ,0,11,0,0,13,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,11,0,0,0,2,0,0,0,0,2,12,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,23,0,0,0,0,0,3,4,8,0,0,0,3,0,1,0,7,3,1,0,0,0,0
 Kernel Machine ,0,0,0,1,1,0,0,0,0,7,2,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Topic Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,1,0,0,16,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,11,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
 Mobile Robots ,0,0,0,10,7,0,2,1,0,24,0,1,0,0,9,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,8,1,1,2,0,3,0,5,6,5,2,0,0,0,0,586,3,2,3,2,0,0,0,0,6,13,0,2,0,0,10,4,0,0,200,258,0,0,3,2,0,0,0,0,1,0,11,0,0,5,0,0,2,0,4,5,0,0
 Information Retrieval ,1,2,0,0,49,7,6,21,0,56,1,0,0,0,19,1,1,3,2,0,0,0,28,2,0,0,0,2,0,0,1,2,2,0,0,0,5,1,0,2,0,2,0,1,0,0,0,1,1,0,0,0,1,0,9,1,0,1,1,7,0,1,8,5,3,0,0,0,2,0,0,24,1,2,2,0,4,7,2,0,0,132,3,0,22,0,0,0,2,0,1,0,0,0,0,2,0,0,16,0,0,0,5,1
 Dynamic Programming ,0,1,0,0,2,1,0,1,0,4,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,4,2,0,0,0,0,0,3,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,16,0,0,3,0,0,0,0,0,1,0,2,2,0,2,0,0,1,0,2,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Deep Learning ,0,0,0,1,2,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,5,10,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Neuromorphic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,8,1,0,0,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 Image Recognition ,0,0,0,0,4,1,0,0,0,7,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,4,0,0,2,2,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 Reinforcement Learning ,0,0,0,0,3,0,1,0,0,4,0,0,1,0,0,0,0,3,1,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,0,0,1,1,0,3,0,15,0,24,1,0,0,0,0,48,1,0,6,3,0,0,0,0,1,1,0,0,0,4,3,1,2,0,22,97,0,0,21,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1
 Face Detection ,0,0,0,0,10,0,0,0,0,10,0,0,0,0,6,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
 Distributed Computing ,0,0,0,0,2,0,0,0,8,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,11,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,3,0,1,0,2,0,0,0,0,8,0,0,0,0,6,1,0,0,0,0
 Bayesian Inference ,0,0,0,4,3,0,0,0,0,4,1,0,0,0,3,0,0,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,2,8,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
 Distributed File System ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,1,4,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,9,0,0,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1
 Parallel Processing ,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,7,0,1,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0
 RNN ,0,0,0,0,12,0,0,0,0,9,0,0,0,0,2,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,15,0,0,0,0,3,0,0,17,3,8,0,0,0,0,8,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,37,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,3,0,1,51,7,1,36,0,37,1,0,0,0,17,0,0,10,21,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,0,0,1,0,0,0,1,0,0,1,17,0,4,3,0,0,0,0,13,0,5,1,5,2,0,1,0,0,6,0,0,0,0,4,22,0,0,5,90,0,0,9,0,0,0,1,0,1,0,0,0,0,3,0,0,2,0,0,0,2,1
 Markov ,0,0,0,7,3,0,0,0,1,9,0,0,0,0,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,24,0,1,5,0,1,0,3,4,0,0,0,1,0,0,17,1,1,0,1,0,0,0,0,2,3,1,0,0,1,0,0,0,0,3,23,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0
 Back-propagation ,0,0,0,0,9,0,0,0,1,23,0,0,0,0,10,1,0,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,8,3,0,0,0,0,0,0,3,3,5,0,0,0,0,2,0,0,7,0,0,0,0,0,4,2,0,3,42,0,0,6,0,0,0,0,0,7,0,2,0,0,0,0,0,1,2,1,0,0,0
