Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,0,0,0,7,0,0,0,0,32,0,0,0,0,0,0,0,19,14,0,0,0,0,4,0,0,0,4,0,2,0,1,0,0,0,0,0,3,0,6,0,1,0,2,0,0,0,6,0,0,0,2,0,16,0,0,0,9,0,0,3,12,5,0,7,10,0,0,46,0,10,0,0,1,8,0,0,0,0,1,0,0,1,0,0,0,0
 Trees ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,1,0,0,7,0,0,0,0,38,0,0,0,0,0,19,1,0,24,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,2,0,0,0,3,5,2,0,7,0,1,0,4,6,8,0,0,0,6,0,0,4,4,1,0,1,8,2,0,32,0,14,0,1,0,2,0,3,0,0,2,1,0,8,2,0,0,0
 Multi-layer perceptron ,0,0,0,1,8,0,0,1,0,55,0,0,0,0,0,14,0,24,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,3,0,3,2,0,0,28,0,0,0,0,3,13,1,0,0,6,0,0,4,4,5,0,2,13,0,0,69,0,6,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0
 Pose Estimation ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,1,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0
 NLP ,0,0,0,0,6,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0
 Automated Reasoning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Bert ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,0,3,0,0,0,0,9,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,5,0,0,0,3,0,4,0,0,0,6,0,0,11,0,1,0,1,2,0,1,22,0,0,0,0,0,5,0,0,0,0,1,0,0,3,2,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Grid Computing ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Text Classification ,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
 Mobile Robots ,0,0,0,2,1,0,1,0,0,10,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,1,0,2,0,4,0,2,0,1,0,0,0,227,4,5,2,0,1,4,0,1,0,0,0,0,6,12,0,59,132,0,2,8,0,0,0,0,11,0,0,11,0,0,0,1,4,0,0
 Information Retrieval ,0,0,1,0,22,1,4,3,0,12,0,0,0,0,0,0,0,2,1,0,10,0,0,0,0,0,1,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,1,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 Dynamic Programming ,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 Deep Learning ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,1,0,1,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
 Reinforcement Learning ,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,18,0,1,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 Face Detection ,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,3,3,0,0,13,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
 Distributed Computing ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 Bayesian Inference ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 Distributed File System ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,2,1,3,1,0,0,2,0,0,1,0,0,0,1,3,0,0,9,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 Parallel Processing ,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
 RNN ,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,3,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,7,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,3,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
 Voice Recognition ,0,1,0,0,12,1,0,21,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,4,0,0,0,1,5,0,2,50,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 Markov ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Back-propagation ,0,1,0,0,11,0,0,0,0,21,0,0,0,1,0,6,0,7,28,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,4,0,2,2,0,0,0,0,0,0,3,2,12,0,0,0,5,0,0,3,0,1,0,2,6,2,1,46,0,2,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0
 Cluster Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
 Semantic Search ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robots ,0,0,0,1,5,0,9,0,0,15,0,2,0,0,0,2,0,4,0,8,0,0,1,3,0,0,0,0,0,227,0,3,0,3,0,3,13,0,2,2,0,2,0,7,2,3,0,3,0,1,0,0,22,6,5,12,3,5,0,1,2,0,0,0,19,9,0,348,350,0,3,12,0,0,1,0,157,0,0,13,0,0,0,4,6,0,0
 Genetic Algorithm ,0,0,0,0,13,0,2,0,0,11,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,1,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,22,0,12,3,0,0,3,0,0,7,0,0,0,1,0,13,10,48,0,17,0,0,0,2,0,6,0,0,3,0,0,15,6,0,0,0
 Pattern Recognition ,0,7,0,3,28,0,1,0,0,93,0,0,0,0,0,16,0,8,13,0,0,0,0,4,0,0,1,0,0,5,0,3,0,1,2,7,0,1,0,0,0,3,3,3,2,0,0,12,0,0,0,6,12,0,3,0,0,29,0,0,20,2,7,0,13,34,8,6,123,0,10,0,1,1,3,0,0,0,0,13,0,0,4,10,0,0,1
 Search Algorithm ,0,0,0,1,3,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,0,2,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0
 Humanoid Robots ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,2,0,1,10,0,2,0,0,21,0,0,0,0,0,9,0,6,6,2,0,0,0,6,0,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5,3,29,1,0,1,0,0,0,4,0,0,0,3,16,0,0,24,0,2,0,0,1,2,0,0,0,0,3,0,1,6,1,0,0,0
 Dynamic Cloud ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 UAM ,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
 Clustering ,0,2,0,0,12,0,0,0,1,33,0,0,0,0,0,3,0,4,4,0,1,0,0,11,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,1,0,4,0,0,3,0,0,0,2,7,20,0,0,0,4,0,0,0,0,1,0,1,10,1,1,46,0,8,2,0,0,4,0,0,0,0,2,0,0,25,19,0,0,1
 Statistical Learning ,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Image Classification ,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,5,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0
 Transfer Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Object Recognition ,0,0,0,0,11,0,1,0,0,27,0,0,0,0,0,7,0,1,2,4,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,6,0,3,0,2,0,1,2,1,1,3,0,2,0,0,0,19,1,13,0,0,1,3,0,0,1,0,1,0,0,9,0,9,65,0,0,0,0,0,2,0,1,0,0,11,0,0,0,6,1,0,0
 Feature Extraction ,0,2,1,1,27,0,0,2,0,60,0,0,0,0,0,10,0,8,13,2,0,0,0,2,0,0,0,1,0,12,2,0,0,0,0,0,1,3,0,1,0,3,2,0,5,0,1,6,0,0,0,9,0,34,0,0,0,16,0,0,10,0,0,0,9,0,0,5,57,0,3,2,0,3,1,0,0,0,0,3,0,0,1,7,0,0,0
 Expert System ,0,0,0,0,16,0,6,0,0,24,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,13,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,71,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,1,0,0,2,9,0,4,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,59,0,2,0,4,0,0,6,0,1,3,0,0,0,3,2,2,0,1,0,0,0,348,10,6,2,6,2,0,0,5,1,1,0,0,9,5,2,0,173,0,4,5,0,0,0,0,69,0,0,11,0,0,0,4,3,0,0
 AI ,1,4,1,6,94,3,43,11,2,165,2,3,3,0,0,46,0,32,69,10,26,0,1,22,0,0,3,2,6,132,39,4,1,4,1,9,18,13,1,9,0,9,2,20,50,7,0,46,0,2,0,350,48,123,12,7,4,24,0,3,46,4,6,0,65,57,71,173,0,1,82,7,1,3,18,0,50,1,2,70,1,0,76,59,8,2,0
