Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,8,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 Meta Learning ,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
 SVM ,0,5,0,0,54,0,1,3,0,264,6,0,2,0,17,56,25,0,4,4,0,3,0,0,0,0,0,3,12,0,0,2,8,3,0,0,0,2,0,3,0,8,2,2,1,0,6,19,0,1,10,0,2,0,0,12,11,0,76,1,0,5,14,0,21,24,21,0,0,21,68,3,15,172,0,0,1,122,0,0,3,0,12,0,0,0,0,7,21,0,15,0,1,0
 Trees ,0,0,0,0,7,0,0,0,0,34,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,9,0,0,0,4,0,0,2,0,0,0,1,6,0,0,9,0,0,1,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
 Regression ,0,1,1,4,21,0,0,1,0,89,1,0,2,56,17,0,29,0,1,0,0,2,0,0,0,0,1,0,1,0,0,2,8,3,0,0,0,2,0,0,5,0,2,2,2,0,1,14,7,0,17,0,0,1,0,11,16,0,21,2,1,0,15,0,6,9,7,0,1,3,10,9,8,84,0,0,1,61,0,0,3,0,10,0,0,0,0,5,26,0,8,0,0,3
 Multi-layer perceptron ,0,6,0,3,11,0,0,0,1,103,0,0,0,25,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,11,0,7,19,1,0,44,0,0,0,0,2,20,0,24,0,0,0,14,0,3,6,2,0,0,2,40,1,4,85,0,0,0,12,0,0,0,0,2,0,0,1,0,0,1,0,4,0,0,0
 Cyber Infrastructure ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,5,4,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,1,22,1,0,0,1,3,0,0,5,1,0,0,0,0,7,4,0,6,47,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,2,1,0,0
 NLP ,0,0,0,0,13,6,4,5,0,15,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,66,2,0,0,18,0,0,0,0,2,0,0,0,0,1,2,0,0,0,5,0
 Automated Reasoning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,1,1,0,0,0,0,20,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,3,0,2,1,0,0,5,0,17,1,0,0,0,4,3,0,3,30,0,0,0,7,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,1,0,1,2,0,0,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,1,1,0,0,0,11,0,0,8,0,0,0,0,0
 Text Classification ,0,0,0,0,0,0,0,0,0,14,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,15,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Kernel Machine ,0,0,1,1,0,0,0,0,0,11,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,2,0,21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,2,0,2,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,1,17,0,0,0,2,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0
 Mobile Robots ,0,1,0,12,12,0,7,0,0,15,0,0,0,2,0,2,5,0,9,0,0,2,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,9,0,1,15,0,2,4,1,1,1,2,1,0,1,0,0,0,0,471,11,0,6,6,3,0,1,4,4,0,0,0,0,13,11,1,175,201,0,0,0,7,12,0,0,0,4,0,21,0,0,12,1,0,1,6,0,0
 Information Retrieval ,0,0,1,0,43,4,3,17,0,35,0,0,0,8,0,8,2,1,0,24,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,1,1,0,0,8,1,0,1,0,3,0,0,2,5,0,4,2,0,0,2,0,28,0,2,1,0,4,7,1,3,134,0,0,0,12,0,0,0,0,1,0,0,0,0,2,18,0,0,0,3,0
 Dynamic Programming ,0,0,0,1,1,0,0,0,1,5,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,1,0,0,0,0,2,1,1,10,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Deep Learning ,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Neuromorphic Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,0,0,0,2,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,0,0,1,0,0,0,0,14,0,0,7,0,0,0,1,0,1,1,0,0,0,1,8,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 Data Storage ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
 Image Recognition ,0,0,0,1,4,0,1,1,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,1,2,0,0,0,2,0,0,1,4,0,0,15,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Reinforcement Learning ,0,0,0,1,3,0,1,0,0,8,0,0,0,0,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,15,1,7,0,1,0,1,0,0,0,0,0,0,4,0,9,0,15,0,3,0,0,0,0,81,6,0,0,1,3,0,0,0,1,1,1,0,2,1,0,0,33,95,0,0,0,15,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
 Face Detection ,0,0,0,0,9,0,0,0,0,12,0,0,0,8,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,1,2,0,2,0,2,0,0,16,9,0,6,31,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0
 Distributed Computing ,0,0,0,1,2,0,0,0,3,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,3,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0
 Bayesian Inference ,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
 Optimization Algorithm ,0,0,0,0,1,0,0,0,1,10,0,0,0,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,4,1,0,0,0,0,3,1,0,0,10,0,0,0,1,6,0,0,4,0,0,0,0,0,3,1,0,0,0,0,3,0,4,19,0,0,0,3,0,0,0,0,3,0,0,1,0,2,0,0,4,0,0,0
 Parallel Processing ,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,2,4,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0
 RNN ,0,0,0,0,5,0,0,0,0,11,0,0,0,6,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,9,0,0,0,3,0,0,2,2,0,8,0,0,0,0,12,4,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,3,44,0,0,0,1,0,0,0,0,5,0,3,0,1,0,1,0,1,0,0,0
 Voice Recognition ,0,2,0,1,51,9,3,45,0,61,0,0,0,19,0,14,19,0,0,3,0,1,0,0,1,0,0,0,0,0,0,2,8,5,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,13,0,0,4,4,5,1,1,0,6,0,0,0,0,2,36,0,3,166,0,0,0,17,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
 Markov ,0,0,0,10,2,0,1,0,2,9,0,0,0,0,2,7,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,5,0,0,0,0,0,0,15,0,0,2,0,0,2,1,0,0,0,0,0,0,0,11,1,0,4,0,0,1,1,0,2,2,0,0,0,3,0,1,3,24,0,0,0,4,0,1,1,0,1,0,0,0,0,0,1,0,5,2,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Back-propagation ,0,1,0,0,8,0,1,0,0,44,0,0,0,10,0,17,44,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,3,0,0,0,10,0,8,2,0,0,0,0,0,0,2,5,14,0,8,1,0,0,8,2,3,2,1,0,0,1,5,1,6,59,0,0,0,11,2,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0
 Cluster Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,1,13,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 Robots ,0,0,0,15,35,0,6,1,0,49,0,2,1,12,1,11,2,0,22,0,0,6,0,0,1,2,0,0,0,0,2,471,2,6,0,0,0,14,0,2,81,4,4,4,6,1,12,13,11,0,5,0,0,0,1,0,55,0,6,10,103,8,4,28,11,0,0,0,1,40,21,5,934,821,0,2,0,28,20,0,0,0,7,0,213,0,0,44,0,2,1,13,0,0
 Genetic Algorithm ,0,2,0,3,15,0,3,0,2,57,0,0,0,11,0,16,20,0,1,0,0,3,0,0,0,0,3,0,1,0,0,11,5,1,0,0,0,0,0,1,6,0,0,0,0,2,4,0,1,0,14,1,0,0,0,55,0,0,24,1,0,0,4,0,9,0,7,0,0,3,21,4,31,99,0,1,0,20,2,7,0,0,3,0,8,0,0,0,11,0,5,0,0,2
 Edge Computing ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pattern Recognition ,0,7,0,5,57,3,5,2,0,250,0,0,0,76,9,21,24,0,0,1,0,2,0,0,1,0,1,0,3,0,2,6,4,4,0,0,0,7,0,6,0,6,0,1,4,1,3,4,4,0,8,0,0,0,1,6,24,0,0,6,0,5,58,0,38,4,4,0,0,22,75,10,16,255,0,0,0,44,0,0,1,0,3,0,1,0,0,26,19,1,19,0,0,1
 Search Algorithm ,0,0,0,0,4,0,1,2,2,4,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,0,0,1,0,0,0,0,10,1,0,6,0,0,0,0,0,0,0,1,0,0,2,1,0,11,17,0,0,0,4,0,5,0,0,0,0,4,0,0,4,2,0,0,0,0,0
 Humanoid Robots ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,103,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,32,47,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,6,0,0,2,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,5,0,0,0,1,0,0,0,1,0,0,0,5,1,3,22,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0
 Dimensionality Reduction ,0,1,0,1,11,0,1,0,0,64,0,0,0,14,4,15,14,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,8,0,0,0,0,4,4,0,58,0,1,1,0,0,13,1,1,0,0,4,27,1,3,44,0,0,0,9,0,0,1,0,3,1,0,0,0,6,9,0,4,0,0,0
