Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Classification ,0,19,3,1,101,1,14,0,1,0,0,4,0,3,0,174,6,66,67,2,8,1,11,0,1,0,2,19,5,0,5,11,26,0,2,0,3,0,2,1,14,2,3,6,3,9,18,3,0,25,1,1,0,2,33,50,168,5,1,3,0,40,2,76,14,52,0,43,119,25,14,354,0,2,2,119,3,4,1,0,40,0,2,0,0,31,0,90,45,0,1,2
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0
 Unmanned Vehicle ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Meta Learning ,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,6,0,1,34,0,0,0,0,0,174,1,0,4,0,0,5,36,15,2,2,0,2,0,0,0,1,8,19,0,0,1,4,1,0,0,0,0,4,3,4,1,0,2,0,0,4,0,0,3,0,0,0,0,5,10,47,1,0,0,0,6,0,12,25,9,0,17,18,0,6,80,0,0,0,77,0,0,0,0,14,0,0,0,0,8,0,14,8,0,1,3
 Trees ,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 Regression ,0,1,0,2,13,0,0,0,0,0,66,0,0,2,0,36,3,0,24,0,2,0,1,0,0,0,0,0,6,0,1,2,0,0,1,0,0,0,1,1,0,0,1,1,0,4,3,1,0,12,0,2,0,1,6,12,29,0,0,0,0,14,0,7,7,1,1,2,4,2,1,46,0,0,0,36,0,0,0,0,10,0,0,0,0,1,0,18,2,0,0,1
 Multi-layer perceptron ,0,6,0,1,9,2,0,0,5,0,67,0,0,0,0,15,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,12,1,0,25,0,0,0,0,2,12,6,0,0,1,0,9,0,3,1,0,0,0,17,0,0,71,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0
 Pose Estimation ,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,1,0,0,0,4,1,1,6,41,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0
 NLP ,0,0,0,0,9,2,4,0,7,0,8,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,1,2,43,1,0,0,10,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1
 Automated Reasoning ,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,1,0,0,3,0,0,0,0,0,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,2,0,0,0,0,4,3,2,1,0,0,0,2,0,15,0,1,0,5,2,0,4,21,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,0,0,2,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,14,0,0,0,4,0,0,0,0
 Text Classification ,0,0,0,0,2,1,0,0,1,0,19,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
 Kernel Machine ,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,19,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,3,0,13,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0
 Mobile Robots ,0,0,0,4,4,0,5,0,0,0,11,0,0,2,0,1,0,2,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,3,9,0,1,0,1,0,5,2,3,0,0,0,0,0,0,321,6,0,7,1,0,0,2,2,4,0,1,0,10,3,3,94,160,0,0,0,4,0,0,0,0,2,0,18,0,0,6,0,0,3,3,0,0
 Information Retrieval ,0,1,0,0,30,3,5,0,4,0,26,0,0,0,0,4,0,0,0,0,22,0,1,0,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,3,1,2,0,0,0,0,0,23,0,0,0,2,4,1,1,91,0,1,0,10,1,0,0,0,0,0,0,1,0,1,0,9,0,0,2,1
 Dynamic Programming ,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0
 Deep Learning ,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Data Storage ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Convolutional Networks ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0
 Automated Question Answering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Image Recognition ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,4,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Reinforcement Learning ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,1,0,0,0,0,4,0,2,0,6,0,2,0,0,0,0,31,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,13,58,0,0,0,10,0,6,0,0,6,0,0,0,0,2,0,2,0,2,0,0
 Face Detection ,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,2,2,0,3,0,2,2,0,0,5,7,0,2,38,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0
 Distributed Computing ,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,7,0,1,0,1,0,0,2,0,0,0,0,6,0,0,0,3,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
 Optimization Algorithm ,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,3,0,2,0,2,0,0,0,0,3,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,10,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1
 Parallel Processing ,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
 RNN ,0,0,0,0,9,0,0,0,0,0,9,0,0,2,0,0,0,4,7,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,3,0,0,3,1,0,8,0,0,0,0,12,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,10,23,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,1,27,7,0,0,27,0,18,0,0,0,0,4,0,3,12,0,5,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,3,0,3,0,1,0,0,0,0,21,2,6,1,1,0,0,0,0,3,0,0,0,3,3,0,12,70,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Markov ,0,0,0,7,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,6,0,0,1,2,0,1,3,0,0,1,0,0,0,0,11,0,3,1,0,0,0,0,0,0,1,2,0,2,0,0,4,18,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,10,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Back-propagation ,0,4,0,1,4,0,1,0,0,0,25,0,0,0,0,3,0,12,25,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,8,1,1,0,0,0,0,0,0,2,6,7,0,0,0,0,9,0,1,1,1,0,0,6,0,0,39,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
 Cluster Computing ,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Robots ,0,0,0,8,13,0,6,0,0,0,33,0,0,1,0,5,0,6,2,8,1,0,4,0,2,3,1,0,0,0,0,321,1,3,2,3,11,0,1,31,4,6,0,3,1,12,21,11,0,2,0,1,0,0,0,16,9,11,41,4,0,4,9,7,0,1,0,28,13,1,656,526,0,0,0,10,0,13,1,0,5,0,202,0,0,33,0,0,2,3,0,0
 Genetic Algorithm ,0,2,0,1,6,0,1,0,0,0,50,0,0,0,0,10,1,12,12,2,1,0,3,0,0,0,2,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,6,0,1,0,1,16,0,21,6,2,0,0,2,1,15,0,1,0,5,8,6,9,112,0,1,0,11,0,2,0,0,3,0,4,0,0,7,0,15,7,0,0,0
 Pattern Recognition ,0,10,2,5,37,5,3,0,2,0,168,0,0,0,0,47,1,29,6,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,3,0,3,0,1,2,1,5,6,3,0,7,0,0,0,0,9,21,0,6,0,0,0,43,0,21,7,3,0,13,31,7,10,184,0,1,0,30,0,1,0,0,7,0,0,0,0,15,1,12,5,0,0,2
 Search Algorithm ,0,1,0,0,2,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,11,6,6,0,0,0,0,3,0,3,0,1,0,1,6,1,4,23,0,0,0,4,4,0,0,0,1,1,4,0,0,0,0,2,0,0,0,0
 Humanoid Robots ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 Data Intensive Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimensionality Reduction ,0,4,0,1,7,0,0,0,0,0,40,0,0,0,0,6,0,14,9,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,9,0,0,0,0,4,2,43,3,0,1,0,0,0,4,0,1,0,0,17,0,0,28,0,0,0,6,0,1,0,0,0,0,1,0,0,3,0,2,2,0,0,0
 UAM ,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,17,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 Clustering ,0,1,0,1,18,0,3,0,0,2,76,2,0,0,0,12,0,7,3,1,0,1,15,0,0,0,0,0,2,0,0,4,23,0,0,0,1,0,0,0,2,1,0,0,0,1,3,0,0,1,0,0,0,0,7,15,21,3,0,1,0,4,0,0,1,5,0,11,11,2,2,93,0,0,0,26,0,0,4,0,5,0,0,0,0,6,0,62,16,0,0,0
 Statistical Learning ,0,0,0,1,4,0,0,0,0,0,14,0,0,0,0,25,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
