Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 AWS ,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
 Language Modeling ,0,0,0,0,0,0,0,3,24,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,34,0,61,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,38,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 Supercomputers ,0,0,0,6,0,0,8,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,4,0,2,0,6,0,0,0,5,0,0,2,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,9,0,1,3,0,2,0,2,0,13,0,0,0,0,0,0,63,0,0,0,0,0,1,7,0,0,0,0
 Classification ,1,37,0,34,0,6,11,267,8,14,1,8,2,0,38,5,6,1,0,0,731,370,60,1,338,108,1,20,8,88,2,47,0,0,6,5,13,0,0,41,37,4,9,5,9,70,29,2,0,0,0,246,0,313,2,20,17,15,0,4,8,0,14,4,59,9,61,10,13,32,1,12,1,10,164,72,0,289,8,13,39,0,109,0,88,239,25,241,1,0,2,27,127,404,37,3,134,817,0,6,6,0,932,5,0,1,115,2,134,1,7,4,1,10,10,177,7,12,1,283,11,104,6,4,15
 Semi Supervised Learning ,0,0,0,0,0,0,0,4,0,0,0,2,0,38,0,0,0,0,0,0,13,1,0,0,7,0,0,0,0,2,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,10,1,5,0,0,0,1,4,5,0,0,0,27,0,0,0,0,13,0,0,0,1,0,15,0,0,0,0,1,0,0,1,1,0,2,0,1,0,1,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,35,0,5,0,0,0,106,1,1,0,0,1,731,13,1,1,0,0,0,0,175,14,0,202,70,0,9,1,23,1,4,0,0,0,0,1,0,0,14,4,2,0,0,0,8,15,0,0,0,0,56,0,63,1,10,2,11,0,2,2,0,11,3,15,7,16,4,4,7,0,6,0,6,51,60,0,106,0,4,29,0,70,0,30,34,19,106,0,0,0,4,54,148,13,1,28,241,0,0,2,0,534,0,0,0,11,0,58,0,2,2,0,6,8,62,4,1,0,68,4,20,4,4,6
 Trees ,0,12,0,4,0,1,6,47,0,0,0,0,0,370,1,0,1,0,0,0,175,0,3,0,167,21,0,13,0,4,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,3,3,0,0,0,0,15,0,18,0,0,0,1,0,1,1,0,1,0,3,0,7,3,3,0,0,0,0,10,13,13,0,14,0,1,4,0,17,0,16,27,7,25,0,0,0,1,12,38,4,0,4,99,0,1,0,0,227,2,0,0,12,0,26,0,0,0,0,1,0,11,0,0,0,44,3,19,0,0,0
 Sentiment Analysis ,0,1,0,8,0,0,1,4,4,1,0,1,0,60,0,0,0,0,0,0,14,3,0,0,6,0,0,0,0,61,0,5,0,0,0,0,0,0,0,6,3,0,0,7,1,7,0,0,0,0,0,6,0,1,0,0,3,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,1,0,6,2,0,0,61,0,0,0,0,40,0,0,0,23,0,5,0,0,2,0,1,0,0,1,1,0,9,0,0,0,4,0
 Sentence Similarity ,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,9,0,12,0,1,11,85,1,2,0,0,1,338,7,0,0,0,0,0,202,167,6,1,0,67,0,19,2,8,0,4,0,0,0,0,2,0,1,1,5,5,7,2,0,7,6,3,0,0,0,42,0,38,0,1,9,1,0,0,1,0,11,0,12,1,16,11,3,14,1,4,0,16,77,50,0,37,0,6,5,0,38,0,15,46,30,18,0,0,0,6,12,33,10,2,61,226,0,0,0,0,347,1,0,1,57,1,39,0,3,0,0,8,0,42,3,6,0,111,2,8,0,0,5
 Multi-layer perceptron ,0,1,0,0,0,1,2,21,0,0,0,0,0,108,0,0,0,0,0,0,70,21,0,0,67,0,0,0,0,1,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,9,0,0,0,1,0,0,0,0,1,0,5,0,5,0,0,26,0,0,0,0,10,21,0,15,2,2,2,0,11,0,0,11,3,0,0,0,0,0,0,14,3,0,4,80,0,1,0,0,76,0,0,0,0,0,10,0,2,0,0,0,0,3,0,0,0,18,0,3,0,0,0
 Cyber Infrastructure ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
 Pose Estimation ,0,0,0,0,0,0,6,12,0,0,0,0,0,20,0,0,0,0,0,0,9,13,0,0,19,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,7,0,11,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,63,0,0,4,0,3,5,0,0,0,12,2,0,2,0,0,0,0,29,12,0,0,27,99,0,0,1,0,6,4,0,0,1,0,1,0,6,0,0,0,0,26,0,0,0,0,3,2,3,0,1
 Auto Encoder ,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,4,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
 NLP ,0,0,0,6,0,0,0,23,37,9,0,21,0,88,2,0,0,0,0,0,23,4,61,0,8,1,0,0,0,0,0,7,0,0,0,1,1,0,0,9,2,0,0,5,5,49,1,0,0,1,0,11,0,6,1,1,2,2,0,1,1,0,0,0,17,0,27,1,8,1,1,0,4,1,12,2,0,2,2,2,0,0,4,0,0,22,0,1,0,0,0,2,5,21,4,0,5,185,1,0,1,0,101,0,0,0,24,0,4,0,2,3,0,0,1,3,1,1,0,29,0,2,0,27,1
 Automated Reasoning ,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,4,0,1,0,0,0,5,0,1,0,1,0,47,5,0,1,1,0,0,4,5,5,0,4,2,0,1,1,7,0,0,0,0,0,1,2,0,0,2,0,1,0,3,0,2,2,0,0,0,0,13,1,6,0,0,3,0,0,1,1,0,2,0,2,0,5,0,0,2,0,0,0,0,7,4,0,7,0,1,0,0,5,0,2,59,0,5,0,0,0,0,6,9,0,0,3,44,0,0,0,0,34,2,0,0,9,0,19,0,0,1,0,1,4,3,0,0,0,6,0,3,0,0,1
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,0,2,1,0,0,0,0,13,1,0,0,0,0,0,1,1,0,0,2,4,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30,0,6,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,2,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
 Docker ,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0
 Grid Computing ,1,0,0,1,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0
 Text Classification ,0,2,0,1,0,0,0,3,2,0,0,0,0,41,1,0,0,0,0,0,14,1,6,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,22,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
 Clouds ,1,0,0,138,0,22,4,70,0,1,14,0,3,37,0,0,0,0,0,1,4,1,3,0,5,0,1,0,0,2,0,0,0,0,0,0,0,16,11,0,0,0,2,2,18,7,5,1,1,0,0,6,0,2,37,1,10,1,0,27,1,11,0,14,1,0,3,6,0,0,6,201,0,0,34,14,27,1,3,1,0,2,2,2,3,13,0,0,40,0,0,1,1,4,2,0,40,123,0,17,10,0,44,0,1,59,206,59,2,0,1,0,0,31,0,3,0,0,93,32,6,2,0,0,0
 Kernel Machine ,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,1,0,11,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,56,1,0,0,0,6,1,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,61,44,0,0,0,0,18,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,1,0,7,0,0,0
 Topic Modeling ,0,0,0,1,0,0,0,2,1,0,0,1,0,5,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0
 RDBMS & SQL ,0,0,0,43,0,0,0,41,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,2,0,1,19,0,17,1,0,11,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0
 Information Retrieval ,1,4,0,6,0,0,0,39,16,6,0,15,0,70,0,0,0,0,0,0,8,3,7,0,7,1,0,0,0,49,0,2,0,0,0,0,1,0,0,5,7,1,0,4,8,0,0,2,0,0,0,8,0,5,0,0,2,0,0,2,1,0,1,1,0,1,12,2,0,0,0,1,5,0,1,7,0,7,5,0,0,0,1,0,0,38,0,3,0,0,2,0,1,9,2,0,2,111,0,1,0,0,28,0,0,0,13,0,2,0,0,2,0,2,3,3,0,0,0,17,0,0,0,3,1
