Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Quantum Computing , Machine Learning , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Regression ,0,7,0,10,1,9,63,2,2,0,2,1,256,7,0,4,1,203,126,4,0,50,0,21,0,5,0,4,0,0,0,0,1,1,0,1,7,1,0,0,0,4,4,0,0,0,20,0,3,16,1,8,1,0,3,0,5,1,4,2,14,10,3,11,1,6,0,5,54,32,0,31,1,4,2,0,30,0,10,44,32,19,0,0,3,9,43,10,0,44,196,0,0,2,0,0,279,0,0,50,0,33,0,1,0,0,6,1,34,2,2,1,77,3,7,1,0,5
 Multi-layer perceptron ,0,3,0,2,0,1,24,0,0,0,0,0,93,1,0,0,0,86,11,1,50,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,11,0,2,0,0,0,0,1,0,10,0,5,0,0,27,0,0,0,0,4,11,0,8,0,0,16,0,11,0,0,8,0,5,0,0,0,2,14,1,1,4,108,0,0,0,0,0,54,0,0,1,0,8,0,3,0,0,0,2,3,0,0,0,16,0,0,0,0,1
 Cyber Infrastructure ,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,0,0,1,0,2,11,0,1,0,0,0,16,0,0,0,0,6,5,0,21,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,0,3,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,1,0,3,3,2,4,0,0,0,18,4,0,0,0,0,1,37,5,0,0,28,108,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,0,0,35,0,0,0,1,1,3,2,0,1
 Auto Encoder ,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NLP ,0,0,0,4,0,0,21,24,2,0,19,0,63,0,0,0,0,20,0,28,5,0,0,0,0,0,0,3,0,0,0,0,2,0,0,8,4,2,0,1,2,51,1,0,0,1,6,0,1,4,0,1,0,0,0,0,0,0,5,0,13,1,2,1,0,0,3,0,14,2,0,2,0,1,0,0,1,0,1,16,0,1,0,0,2,0,10,5,0,3,164,1,0,0,0,0,52,0,0,23,0,3,0,0,3,0,2,0,4,0,1,0,20,0,0,0,19,0
 Automated Reasoning ,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,2,0,0,5,0,0,0,2,0,47,2,0,0,0,11,3,0,4,3,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,2,0,1,0,2,0,0,0,0,1,1,2,1,1,3,0,0,0,0,12,1,0,7,0,2,3,0,7,0,0,44,1,0,0,0,2,5,7,0,0,6,52,0,0,1,0,0,19,0,0,4,0,18,0,0,0,0,0,4,2,0,0,0,10,0,3,0,3,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 Docker ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
 Grid Computing ,0,0,0,2,0,2,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,4,0,1,4,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0
 Text Classification ,0,0,0,0,0,0,4,1,0,0,2,0,48,1,0,0,0,11,1,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,1,0,4,0,0,0,26,0,0,0,0,0,14,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0
 Clouds ,0,0,0,106,1,9,65,0,1,7,0,12,34,0,0,0,0,7,6,1,7,0,3,1,0,4,0,0,0,0,0,0,0,10,21,0,0,0,2,0,13,0,8,2,0,0,0,0,50,0,1,7,0,49,0,9,0,9,0,0,3,11,1,1,2,192,0,0,36,21,8,1,1,1,0,1,3,2,4,17,2,3,14,0,0,3,6,1,0,30,125,0,12,3,0,0,28,0,53,169,69,0,0,0,0,0,47,0,0,0,1,79,20,8,1,0,1,0
 Kernel Machine ,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,5,0,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,39,2,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,35,14,0,0,0,0,0,2,0,0,1,1,0,0,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0
 Topic Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,0,29,0,0,34,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,2,0,0,0,0,0,5,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,8,0,10,0,0,0,5,0,1,11,0,0,0,0,0,0,0,0,3,0,1,1,15,0,0,0,0,0
 Information Retrieval ,0,0,0,2,2,1,46,8,4,0,22,0,69,1,0,0,0,15,2,7,4,0,0,0,0,51,0,2,0,0,0,0,0,0,0,5,0,0,0,6,6,0,0,0,0,0,14,0,1,9,2,2,0,0,0,0,0,2,4,0,11,2,3,0,0,0,5,0,2,5,0,6,7,0,2,0,2,0,0,34,1,1,0,1,0,3,5,2,0,2,120,1,0,2,0,0,33,0,0,15,0,5,0,0,3,0,0,0,6,0,1,0,23,1,0,0,10,0
 Mobile Robots ,0,0,0,2,2,7,8,0,4,0,0,0,20,1,0,0,1,4,0,0,4,2,0,8,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2,0,0,0,1,0,1,0,7,0,3,0,0,3,0,2,0,7,4,0,0,0,0,0,1,579,15,0,1,1,7,5,0,2,0,14,10,0,0,0,0,2,16,7,1,0,237,205,0,0,2,0,0,8,8,2,0,0,2,0,22,0,0,1,0,10,0,0,0,0,0,0,16,0,0
 Dynamic Programming ,0,0,0,1,0,2,2,0,0,0,3,1,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,3,0,2,3,0,0,0,4,0,0,7,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,12,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,1,0,2,0,0,0
 Inter Clouds ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Encoder Decoder ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Deep Learning ,0,4,0,1,0,5,40,3,7,0,9,0,102,4,0,1,0,22,2,1,20,24,0,3,0,6,1,11,0,0,4,1,6,0,1,0,0,0,2,0,0,14,0,0,0,1,0,2,0,125,4,2,0,1,1,0,6,0,24,3,103,1,2,15,0,2,0,1,14,0,0,9,1,1,3,0,5,0,0,10,0,15,0,1,6,20,46,0,0,19,133,0,0,1,0,0,63,0,0,7,0,12,0,0,0,0,0,7,13,0,0,0,5,1,2,0,0,0
 Neuromorphic Computing ,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 Data Storage ,0,0,0,17,0,0,21,0,0,0,2,2,5,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,50,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,15,0,0,3,0,0,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,1,0,2,15,0,7,0,0,3,5,0,2,29,4,0,0,1,0,0,4,0,3,0,0,0,8,0,1,0,0,1
