Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , Clouds , 3D Print , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Hardware Acceleration , Machine Learning , Quantum Computing , AUV , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Unmanned Vehicle ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,0,0,0,10,0,0,0,0,61,0,0,0,0,0,0,0,0,19,20,1,0,0,2,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,2,4,0,2,1,0,0,7,0,0,0,0,0,1,2,2,20,1,0,0,0,4,0,7,12,2,14,4,0,0,56,0,24,0,0,0,7,0,0,0,4,0,11,1,0,0,0
 Trees ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,1,0,2,5,0,0,0,0,46,1,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,1,1,2,3,10,0,0,2,0,6,5,16,1,1,1,0,7,0,5,6,0,1,4,1,5,40,0,15,0,0,0,5,0,1,0,2,0,6,0,0,0,1
 Multi-layer perceptron ,0,0,0,1,2,0,0,0,0,54,0,0,0,0,0,0,20,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,6,7,1,35,0,0,0,0,1,9,24,0,0,0,0,11,0,2,0,2,0,13,2,3,80,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0
 Pose Estimation ,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,9,2,0,3,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 NLP ,0,0,0,0,8,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,3,0,0,0,1,0,0,0,1,0,1,0,0,4,0
 Automated Reasoning ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,0,0,2,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,4,0,15,0,0,3,2,1,0,14,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,1
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0
 Text Classification ,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Clouds ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,4,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0
 Information Retrieval ,0,0,2,0,37,1,5,1,0,13,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,1,0,0,0,3,0,0,2,1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,2,0,0,3,4,1,0,0,0,0,1,0,12,0,1,5,4,1,1,49,0,6,0,0,0,0,0,0,0,4,0,7,1,0,1,0
 Mobile Robots ,0,0,0,6,3,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,14,2,0,0,0,0,1,3,1,2,0,0,0,0,290,20,3,4,0,0,0,4,1,2,0,0,12,5,0,68,193,0,0,0,1,0,1,0,4,0,5,0,0,3,2,0,0
 Dynamic Programming ,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Deep Learning ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,4,2,0,6,11,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
 Data Storage ,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0
 Image Recognition ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Reinforcement Learning ,0,1,0,0,2,0,0,0,0,3,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,2,1,3,1,11,1,0,0,0,0,17,2,0,0,0,0,0,0,0,4,0,0,0,0,0,11,33,0,5,0,0,0,1,0,4,0,0,0,1,0,3,0,0
 Face Detection ,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Distributed Computing ,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
 Bayesian Inference ,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Optimization Algorithm ,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1
 Parallel Processing ,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0
 RNN ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,0,17,1,0,23,0,7,0,0,0,0,0,0,7,0,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,3,2,0,0,0,0,0,5,0,0,1,5,2,3,58,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0
 Markov ,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,2,0,0,0,2,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 Back-propagation ,0,1,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,4,7,10,0,0,0,0,5,0,3,0,1,1,3,0,0,40,0,4,0,0,0,8,0,1,0,0,0,1,0,0,0,0
 Cluster Computing ,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 Boosting ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robots ,2,0,0,5,7,0,0,0,0,18,0,0,2,0,0,0,2,0,6,1,3,0,0,1,0,0,2,0,0,0,0,0,0,3,290,3,0,20,1,0,17,2,3,0,2,2,3,11,10,4,0,0,0,0,0,22,4,7,20,3,0,4,0,2,1,0,23,9,7,388,654,0,3,0,12,0,1,0,187,0,20,2,0,4,4,0,2
 Genetic Algorithm ,0,0,0,5,6,0,3,0,0,12,0,0,0,0,0,1,2,0,5,9,0,2,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,1,0,1,2,0,0,0,0,0,2,1,0,7,0,0,0,0,22,0,8,1,0,0,0,4,0,5,1,0,2,1,9,8,57,0,8,2,4,0,2,0,7,0,6,0,11,1,0,0,0
 Pattern Recognition ,0,0,0,0,27,1,2,2,0,115,0,0,0,1,0,0,20,0,16,24,1,0,0,5,0,0,0,0,1,0,0,0,0,1,3,3,0,1,0,4,0,1,0,1,1,0,0,3,2,10,0,0,0,0,4,8,0,5,0,1,0,32,0,24,3,3,15,20,4,2,151,0,15,0,0,0,6,0,0,0,13,0,11,10,0,0,0
 Search Algorithm ,0,0,1,0,3,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,1,0,0,1,0,0,3,15,0,2,8,0,0,0,0,1,0,1,0,0,1,1,0,0
 Humanoid Robots ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,0,2,0,0,8,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 Gesture Recognition ,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Intensive Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Dimensionality Reduction ,0,0,0,0,4,0,1,0,0,46,0,0,0,0,0,0,4,0,7,11,0,0,0,4,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,32,0,0,0,0,0,0,12,0,1,6,13,2,0,29,0,2,0,0,0,0,0,0,0,3,0,2,4,0,0,0
 UAM ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 Clustering ,0,0,0,0,15,0,1,8,1,52,0,0,1,0,0,0,7,0,5,2,0,2,0,15,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,4,2,0,0,2,1,1,5,1,3,1,0,0,0,2,5,24,1,0,1,0,12,0,0,1,1,2,4,1,1,63,0,11,0,0,4,8,0,1,2,6,0,34,19,0,0,0
 Statistical Learning ,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,3,0,0,1,12,0,2,0,0,0,3,0,1,0,1,0,3,1,0,0,0
 Image Classification ,0,0,0,0,3,0,0,0,0,28,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,2,0,0,20,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0
 Object Recognition ,0,0,0,1,9,0,0,0,0,32,0,0,0,0,0,0,14,0,1,0,9,0,0,3,0,0,1,0,0,0,0,0,0,5,12,2,0,4,0,3,0,0,0,0,0,2,0,1,1,1,0,0,0,0,23,2,15,1,2,1,0,6,0,2,3,1,0,7,2,10,88,0,0,0,4,0,3,0,0,0,16,0,0,4,0,0,0
 Feature Extraction ,0,0,0,0,18,0,1,2,0,60,0,0,0,0,0,0,4,0,4,13,2,0,0,2,0,0,0,0,1,0,0,0,0,4,5,1,0,2,0,0,0,2,0,0,0,0,1,5,0,3,0,0,0,0,9,1,20,0,0,1,0,13,0,4,0,2,7,0,0,5,63,0,2,0,0,0,0,0,0,0,4,0,3,5,1,0,0
 Expert System ,0,1,0,1,24,0,15,0,0,22,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,9,4,0,0,0,0,2,0,1,0,0,2,0,0,4,82,0,8,0,0,2,1,0,0,0,0,0,4,0,0,0,0
