Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Language Modeling ,0,0,0,0,0,0,7,11,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,13,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,33,0,52,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,38,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Supercomputers ,1,0,2,0,0,10,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0,0,0,0,1,6,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,30,0,0,0,0,1,1,7,0,0,0,0
 Classification ,0,22,7,0,1,12,231,6,17,0,6,4,0,37,2,10,1,0,0,651,232,43,0,227,111,1,22,1,47,1,32,0,0,3,0,2,0,0,35,28,4,2,3,5,19,67,3,1,1,48,1,38,1,0,8,10,6,3,4,1,11,9,20,1,44,11,5,33,0,6,3,14,138,67,0,264,5,6,27,0,1,95,0,34,166,188,16,0,0,10,114,345,28,2,103,680,0,1,5,1,612,3,3,3,53,4,99,0,10,0,1,10,3,106,4,2,1,211,9,116,6,5,7
 Semi Supervised Learning ,0,0,0,0,0,0,4,0,0,0,0,0,37,0,0,1,0,0,0,8,2,1,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,0,6,0,0,1,0,0,0,0,0,13,3,0,0,0,1,2,1,1,0,0,34,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,2
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
 Meta Learning ,0,0,2,0,0,0,2,0,0,0,0,0,10,1,0,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Decentralized Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,18,3,0,0,2,108,2,0,0,4,1,651,8,0,7,1,0,0,0,121,9,0,152,70,0,5,2,11,0,7,0,0,0,1,0,0,0,10,3,3,0,0,0,5,21,0,0,2,10,0,6,0,0,3,3,4,0,3,0,6,2,5,0,12,5,0,8,0,0,1,2,58,49,0,89,2,1,25,0,2,35,0,16,56,102,14,0,0,2,38,168,8,0,20,247,0,0,2,0,369,0,0,0,7,0,36,0,0,0,0,0,2,32,2,0,0,70,2,29,1,1,6
 Trees ,0,9,2,0,0,1,35,0,2,0,0,0,232,2,0,2,0,0,0,121,0,1,0,95,13,0,6,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,4,0,13,0,0,1,0,0,17,0,0,8,21,2,0,0,0,14,28,0,0,1,82,0,0,0,0,133,0,0,0,7,0,10,0,0,0,0,0,0,9,0,0,0,11,0,17,0,0,0
 Sentiment Analysis ,0,0,0,0,0,1,3,3,2,0,0,0,43,1,0,0,0,0,0,9,1,0,0,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,1,0,50,0,0,0,0,20,0,0,0,8,1,6,0,0,0,0,0,0,0,1,2,0,5,0,0,0,3,0
 Sentence Similarity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,10,12,0,0,5,60,2,1,0,3,3,227,3,0,2,0,0,0,152,95,4,0,0,53,1,10,0,0,0,3,0,0,0,0,0,0,0,2,3,1,0,1,2,5,8,1,0,0,6,2,0,0,0,0,10,0,1,3,0,5,2,17,0,14,7,2,15,0,7,0,9,57,43,0,46,1,5,2,0,0,31,0,5,34,16,16,0,0,4,10,35,6,2,46,152,0,1,0,0,205,0,0,0,26,1,23,0,3,0,0,2,0,14,4,2,0,77,2,5,1,0,6
 Multi-layer perceptron ,0,8,4,0,0,2,25,0,0,0,0,0,111,0,0,0,0,0,0,70,13,0,0,53,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,3,0,2,0,0,0,0,7,0,25,2,0,33,0,0,0,0,9,27,0,27,1,0,4,0,0,13,0,0,3,5,2,0,0,0,1,23,0,2,0,74,0,0,0,0,53,0,0,0,5,0,7,0,4,0,0,0,1,4,0,0,0,18,0,1,0,0,2
 Cyber Infrastructure ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Pose Estimation ,0,0,0,0,0,1,6,0,0,0,0,0,22,0,0,0,0,0,0,5,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,3,0,2,5,0,0,4,0,16,2,0,0,0,0,0,15,4,0,0,14,75,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0
 Auto Encoder ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 NLP ,0,2,4,0,0,0,26,15,10,0,13,1,47,2,0,0,0,0,0,11,0,28,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,29,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,6,1,5,1,0,2,1,0,1,0,0,0,0,0,24,1,0,0,1,0,0,3,6,0,1,110,1,0,0,0,57,0,0,0,13,0,6,0,1,0,0,0,0,2,0,0,0,8,0,1,0,24,1
 Automated Reasoning ,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unsupervised Learning ,0,0,2,0,0,1,4,0,1,0,6,0,32,2,0,0,0,0,0,7,4,0,0,3,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,6,1,2,1,0,0,2,0,0,1,0,1,1,1,0,6,1,0,0,0,0,0,0,4,0,0,5,0,1,1,0,0,4,0,0,37,1,4,0,0,1,9,5,0,0,1,39,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,4,1,0,0,0,3,0,1,0,0,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 Audio Classification ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Docker ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
 Text Classification ,0,1,0,0,0,0,1,1,0,0,2,0,35,1,0,0,0,0,0,10,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,19,0,0,0,0,14,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
 Clouds ,2,0,89,0,2,4,46,0,2,5,0,7,28,0,0,0,0,0,1,3,0,0,0,3,1,2,0,0,1,0,1,0,0,0,0,0,0,23,0,0,0,0,0,12,1,7,1,2,0,1,0,0,47,0,0,2,0,34,0,5,0,7,2,0,1,6,0,0,5,167,3,0,7,18,1,2,2,0,1,2,0,4,10,0,16,0,0,2,0,0,1,1,6,0,5,111,0,15,1,0,19,0,1,40,123,54,1,0,0,0,0,26,0,1,0,1,112,22,7,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 3D Print ,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,13,12,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Topic Modeling ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
 RDBMS & SQL ,0,0,30,0,0,0,36,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,17,0,8,0,0,5,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
 Mobile Robots ,0,1,0,0,0,12,6,0,0,0,0,0,19,0,3,0,1,0,0,5,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,1,0,0,1,4,0,2,0,0,5,1,1,0,0,1,0,2,0,5,0,0,489,17,0,0,4,4,3,0,0,0,0,11,4,0,0,0,0,0,12,4,1,0,206,192,0,0,0,0,1,7,0,0,2,0,3,0,15,0,0,0,0,11,0,0,0,2,0,1,11,0,1
 Information Retrieval ,0,0,2,0,1,1,35,5,9,0,19,0,67,1,0,0,0,0,0,21,3,6,0,8,0,0,0,0,29,0,2,0,0,0,0,0,0,0,6,7,0,0,2,2,0,0,1,0,0,5,0,3,0,0,0,1,0,0,0,0,2,0,1,0,3,2,0,1,0,1,10,1,3,3,0,9,3,0,0,0,0,2,0,0,24,3,1,0,0,0,1,6,0,0,0,99,0,0,0,0,25,0,0,0,10,0,3,0,0,1,0,1,0,3,1,0,0,15,2,0,0,4,0
 Dynamic Programming ,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,1,2,0,4,9,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,18,0,0,1,0,4,0,0,0,2,0,1,0,1,0,0,4,0,0,1,0,0,3,1,5,1,0,0
