Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,2,0,0,41,0,0,0,0,253,2,0,0,3,0,6,0,0,51,30,0,0,2,0,1,0,0,1,0,1,15,13,0,0,0,6,1,0,0,2,4,4,8,0,0,0,3,0,4,21,1,1,5,1,0,0,1,3,16,0,67,0,0,2,14,0,0,17,20,17,0,0,26,48,4,0,3,160,0,119,1,0,4,0,17,0,0,0,8,0,24,0,7,0,0,0
 Trees ,0,0,0,0,1,0,0,0,0,10,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
 Sentiment Analysis ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Sentence Similarity ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Regression ,0,1,1,3,14,1,0,1,0,95,1,0,0,0,51,5,0,0,0,33,0,0,3,1,1,0,0,0,0,0,1,3,0,0,1,4,0,1,0,0,0,6,0,0,0,0,0,0,1,10,3,0,7,0,0,0,1,6,12,0,22,0,3,1,12,0,1,10,8,2,0,0,3,7,2,1,6,66,0,60,1,0,1,0,7,0,1,0,7,0,17,0,1,0,0,1
 Multi-layer perceptron ,0,3,0,3,7,0,2,2,0,69,0,0,0,0,30,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,9,10,1,0,20,0,0,0,0,1,15,0,21,1,0,4,7,0,1,16,0,2,0,0,2,13,0,0,0,65,0,6,0,0,0,0,7,0,0,0,0,0,5,0,4,0,0,0
 Cyber Infrastructure ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pose Estimation ,0,1,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,2,1,0,0,0,0,11,2,0,0,9,42,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0
 NLP ,0,1,0,0,11,5,4,4,0,8,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
 Automated Reasoning ,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Unsupervised Learning ,0,0,0,0,0,1,0,3,0,17,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,5,0,8,0,0,0,0,0,0,22,1,4,0,0,3,6,0,0,0,27,0,4,0,0,0,0,6,0,0,0,1,0,1,0,2,0,1,0
 Chatbot ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Audio Classification ,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grid Computing ,0,0,3,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0
 Text Classification ,0,0,0,0,0,0,0,1,0,27,0,0,0,0,15,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,15,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 Kernel Machine ,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 3D Print ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RDBMS & SQL ,0,0,4,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0
 Mobile Robots ,0,0,0,16,8,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,1,10,0,1,1,0,0,0,7,0,5,0,0,0,0,0,0,384,14,0,4,2,3,0,0,0,4,2,1,0,0,0,10,13,0,0,103,242,0,5,0,2,0,0,1,0,12,0,3,0,1,0,1,1,0,0
 Information Retrieval ,0,0,1,0,44,7,5,11,0,37,0,0,0,0,6,0,0,0,4,0,0,0,14,0,3,0,0,2,0,0,2,0,0,3,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,6,0,4,4,0,0,2,0,0,17,0,2,0,0,0,7,0,0,0,118,0,9,0,0,0,0,0,0,0,0,2,0,11,0,0,0,3,0
 Dynamic Programming ,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12,0,3,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0
 Deep Learning ,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
 Data Storage ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Convolutional Networks ,0,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,16,4,0,4,0,0,0,0,0,0,2,0,0,0,0,4,6,0,0,6,25,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
 Image Recognition ,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
 Reinforcement Learning ,0,0,0,0,2,0,0,1,0,5,0,0,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,3,0,2,1,8,0,0,0,0,0,0,37,3,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,13,59,0,10,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
 Face Detection ,0,0,0,0,8,0,0,0,0,11,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,1,2,1,0,0,4,0,0,0,0,10,5,0,0,2,29,0,3,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0
 Distributed Computing ,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0
 Bayesian Inference ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
 Distributed File System ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Optimization Algorithm ,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0
 Parallel Processing ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0
 RNN ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,4,0,2,0,0,0,0,0,0,0,3,1,0,12,0,0,0,0,16,1,0,2,1,0,0,0,0,0,2,0,0,0,0,3,3,0,0,15,42,0,3,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
 Voice Recognition ,0,0,3,0,47,4,0,44,0,38,0,0,0,0,21,0,0,0,10,10,0,1,6,0,1,0,0,1,0,0,1,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,8,1,0,8,3,0,2,1,0,0,21,1,0,0,0,1,21,0,0,5,174,0,6,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0
 Markov ,0,0,0,13,6,0,0,0,0,7,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,8,1,0,4,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,17,0,5,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0
 Feature Engineering ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Back-propagation ,0,1,0,0,8,0,0,0,0,23,0,0,1,0,5,0,0,0,7,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,12,1,0,0,0,0,0,0,0,2,16,0,5,1,0,0,6,0,0,2,0,0,0,0,1,5,1,0,1,27,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0
 Cluster Computing ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Boosting ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
 Robots ,1,1,1,20,21,0,5,0,0,29,0,0,0,0,3,0,0,0,6,1,0,14,0,0,1,0,0,0,1,0,0,0,0,0,384,0,0,1,0,16,2,37,2,2,0,0,2,0,16,8,4,0,2,0,0,0,0,0,47,0,9,6,81,4,2,0,13,7,3,0,0,0,19,22,3,0,740,809,1,26,0,5,0,0,5,0,178,0,23,0,2,0,2,7,0,0
 Genetic Algorithm ,0,1,0,3,13,0,0,0,0,43,0,0,1,0,16,2,0,0,12,15,0,1,2,0,5,0,0,1,0,2,0,1,0,0,14,6,2,0,0,4,2,3,0,0,0,0,0,0,1,1,0,0,16,0,0,0,0,47,0,0,19,6,0,0,7,0,0,8,3,2,0,0,6,13,5,0,18,97,1,19,0,2,0,0,3,0,2,8,9,0,11,0,5,0,0,0
 Edge Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pattern Recognition ,0,15,1,6,43,0,2,0,0,212,1,1,0,0,67,2,0,0,22,21,0,0,0,0,8,0,0,0,0,0,0,1,0,1,4,4,3,1,0,4,1,0,2,1,0,0,2,2,2,8,3,0,5,0,0,0,1,9,19,0,0,1,0,2,36,0,0,45,5,8,0,0,14,46,1,0,4,184,0,29,0,0,0,0,7,0,0,0,9,0,26,0,12,0,0,0
 Search Algorithm ,0,0,0,0,4,2,1,2,1,4,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,6,6,0,1,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,17,0,2,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0
